,text
228,"Mad are their motions, and their tongues are loud;"
229,"And stones and brands in rattling volleys fly,"
230,And all the rustic arms that fury can supply:
231,"If then some grave and pious man appear,"
232,"They hush their noise, and lend a list’ning ear;"
233,"He soothes with sober words their angry mood,"
234,And quenches their innate desire of blood:
235,"So, when the Father of the Flood appears,"
236,"And o’er the seas his sov’reign trident rears,"
237,"Their fury falls: he skims the liquid plains,"
238,"High on his chariot, and, with loosen’d reins,"
239,"Majestic moves along, and awful peace maintains."
240,The weary Trojans ply their shatter’d oars
241,"To nearest land, and make the Libyan shores."
242,Within a long recess there lies a bay:
243,"An island shades it from the rolling sea,"
244,And forms a port secure for ships to ride;
245,"Broke by the jutting land, on either side,"
246,In double streams the briny waters glide.
247,Betwixt two rows of rocks a sylvan scene
248,"Appears above, and groves for ever green:"
249,"A grot is form’d beneath, with mossy seats,"
250,"To rest the Nereids, and exclude the heats."
251,Down thro’ the crannies of the living walls
252,The crystal streams descend in murm’ring falls:
253,"No haulsers need to bind the vessels here,"
254,Nor bearded anchors; for no storms they fear.
255,"Sev’n ships within this happy harbour meet,"
256,The thin remainders of the scatter’d fleet.
257,"The Trojans, worn with toils, and spent with woes,"
258,"Leap on the welcome land, and seek their wish’d repose."
259,"First, good Achates, with repeated strokes"
260,"Of clashing flints, their hidden fire provokes:"
261,Short flame succeeds; a bed of wither’d leaves
262,The dying sparkles in their fall receives:
263,"Caught into life, in fiery fumes they rise,"
264,"And, fed with stronger food, invade the skies."
265,"The Trojans, dropping wet, or stand around"
266,"The cheerful blaze, or lie along the ground:"
267,"Some dry their corn, infected with the brine,"
268,"Then grind with marbles, and prepare to dine."
269,"Aeneas climbs the mountain’s airy brow,"
270,"And takes a prospect of the seas below,"
271,"If Capys thence, or Antheus he could spy,"
272,Or see the streamers of Caicus fly.
273,"No vessels were in view; but, on the plain,"
274,Three beamy stags command a lordly train
275,Of branching heads: the more ignoble throng
276,"Attend their stately steps, and slowly graze along."
277,"He stood; and, while secure they fed below,"
278,He took the quiver and the trusty bow
279,Achates us’d to bear: the leaders first
280,"He laid along, and then the vulgar pierc’d;"
281,"Nor ceas’d his arrows, till the shady plain"
282,Sev’n mighty bodies with their blood distain.
283,"For the sev’n ships he made an equal share,"
284,"And to the port return’d, triumphant from the war."
285,"The jars of gen’rous wine (Acestes’ gift,"
286,When his Trinacrian shores the navy left)
287,"He set abroach, and for the feast prepar’d,"
288,In equal portions with the ven’son shar’d.
289,"Thus while he dealt it round, the pious chief"
290,With cheerful words allay’d the common grief:
291,"“Endure, and conquer! Jove will soon dispose"
292,To future good our past and present woes.
293,"With me, the rocks of Scylla you have tried;"
294,Th’ inhuman Cyclops and his den defied.
295,What greater ills hereafter can you bear?
296,"Resume your courage and dismiss your care,"
297,"An hour will come, with pleasure to relate"
298,"Your sorrows past, as benefits of Fate."
299,"Thro’ various hazards and events, we move"
300,To Latium and the realms foredoom’d by Jove.
301,Call’d to the seat (the promise of the skies)
302,"Where Trojan kingdoms once again may rise,"
303,Endure the hardships of your present state;
304,"Live, and reserve yourselves for better fate.”"
305,"These words he spoke, but spoke not from his heart;"
306,His outward smiles conceal’d his inward smart.
307,"The jolly crew, unmindful of the past,"
308,"The quarry share, their plenteous dinner haste."
309,Some strip the skin; some portion out the spoil;
310,"The limbs, yet trembling, in the caldrons boil;"
311,Some on the fire the reeking entrails broil.
312,"Stretch’d on the grassy turf, at ease they dine,"
313,"Restore their strength with meat, and cheer their souls with"
314,wine.
315,"Their hunger thus appeas’d, their care attends"
316,The doubtful fortune of their absent friends:
317,"Alternate hopes and fears their minds possess,"
318,"Whether to deem ’em dead, or in distress."
319,"Above the rest, Aeneas mourns the fate"
320,"Of brave Orontes, and th’ uncertain state"
321,"Of Gyas, Lycus, and of Amycus."
322,"The day, but not their sorrows, ended thus."
323,"When, from aloft, almighty Jove surveys"
324,"Earth, air, and shores, and navigable seas,"
325,At length on Libyan realms he fix’d his eyes:
326,"Whom, pond’ring thus on human miseries,"
327,"When Venus saw, she with a lowly look,"
328,"Not free from tears, her heav’nly sire bespoke:"
329,“O King of Gods and Men! whose awful hand
330,"Disperses thunder on the seas and land,"
331,Disposing all with absolute command;
332,How could my pious son thy pow’r incense?
333,"Or what, alas! is vanish’d Troy’s offence?"
334,"Our hope of Italy not only lost,"
335,"On various seas by various tempests toss’d,"
336,"But shut from ev’ry shore, and barr’d from ev’ry coast."
337,"You promis’d once, a progeny divine"
338,"Of Romans, rising from the Trojan line,"
339,"In after times should hold the world in awe,"
340,And to the land and ocean give the law.
341,"How is your doom revers’d, which eas’d my care"
342,When Troy was ruin’d in that cruel war?
343,"Then fates to fates I could oppose; but now,"
344,"When Fortune still pursues her former blow,"
345,What can I hope? What worse can still succeed?
346,What end of labours has your will decreed?
347,"Antenor, from the midst of Grecian hosts,"
348,"Could pass secure, and pierce th’ Illyrian coasts,"
349,"Where, rolling down the steep, Timavus raves"
350,And thro’ nine channels disembogues his waves.
351,"At length he founded Padua’s happy seat,"
352,And gave his Trojans a secure retreat;
353,"There fix’d their arms, and there renew’d their name,"
354,"And there in quiet rules, and crown’d with fame."
355,"But we, descended from your sacred line,"
356,"Entitled to your heav’n and rites divine,"
357,"Are banish’d earth; and, for the wrath of one,"
358,Remov’d from Latium and the promis’d throne.
359,Are these our scepters? these our due rewards?
360,And is it thus that Jove his plighted faith regards?”
361,"To whom the Father of th’ immortal race,"
362,"Smiling with that serene indulgent face,"
363,"With which he drives the clouds and clears the skies,"
364,First gave a holy kiss; then thus replies:
365,"“Daughter, dismiss thy fears; to thy desire"
366,"The fates of thine are fix’d, and stand entire."
367,Thou shalt behold thy wish’d Lavinian walls;
368,"And, ripe for heav’n, when fate Aeneas calls,"
369,"Then shalt thou bear him up, sublime, to me:"
370,No councils have revers’d my firm decree.
371,"And, lest new fears disturb thy happy state,"
372,"Know, I have search’d the mystic rolls of Fate:"
373,Thy son (nor is th’ appointed season far)
374,"In Italy shall wage successful war,"
375,"Shall tame fierce nations in the bloody field,"
376,"And sov’reign laws impose, and cities build,"
377,"Till, after ev’ry foe subdued, the sun"
378,Thrice thro’ the signs his annual race shall run:
379,"This is his time prefix’d. Ascanius then,"
380,"Now call’d Iulus, shall begin his reign."
381,"He thirty rolling years the crown shall wear,"
382,"Then from Lavinium shall the seat transfer,"
383,"And, with hard labour, Alba Longa build."
384,The throne with his succession shall be fill’d
385,Three hundred circuits more: then shall be seen
386,"Ilia the fair, a priestess and a queen,"
387,"Who, full of Mars, in time, with kindly throes,"
388,Shall at a birth two goodly boys disclose.
389,The royal babes a tawny wolf shall drain:
390,"Then Romulus his grandsire’s throne shall gain,"
391,"Of martial tow’rs the founder shall become,"
392,"The people Romans call, the city Rome."
393,"To them no bounds of empire I assign,"
394,Nor term of years to their immortal line.
395,"Ev’n haughty Juno, who, with endless broils,"
396,"Earth, seas, and heav’n, and Jove himself turmoils;"
397,"At length aton’d, her friendly pow’r shall join,"
398,To cherish and advance the Trojan line.
399,"The subject world shall Rome’s dominion own,"
400,"And, prostrate, shall adore the nation of the gown."
401,An age is ripening in revolving fate
402,"When Troy shall overturn the Grecian state,"
403,"And sweet revenge her conqu’ring sons shall call,"
404,To crush the people that conspir’d her fall.
405,"Then Caesar from the Julian stock shall rise,"
406,"Whose empire ocean, and whose fame the skies"
407,"Alone shall bound; whom, fraught with eastern spoils,"
408,"Our heav’n, the just reward of human toils,"
409,Securely shall repay with rites divine;
410,And incense shall ascend before his sacred shrine.
411,"Then dire debate and impious war shall cease,"
412,And the stern age be soften’d into peace:
413,"Then banish’d Faith shall once again return,"
414,And Vestal fires in hallow’d temples burn;
415,And Remus with Quirinus shall sustain
416,"The righteous laws, and fraud and force restrain."
417,"Janus himself before his fane shall wait,"
418,"And keep the dreadful issues of his gate,"
419,With bolts and iron bars: within remains
420,"Imprison’d Fury, bound in brazen chains;"
421,"High on a trophy rais’d, of useless arms,"
422,"He sits, and threats the world with vain alarms.”"
423,"He said, and sent Cyllenius with command"
424,"To free the ports, and ope the Punic land"
425,"To Trojan guests; lest, ignorant of fate,"
426,The queen might force them from her town and state.
427,"Down from the steep of heav’n Cyllenius flies,"
428,And cleaves with all his wings the yielding skies.
429,"Soon on the Libyan shore descends the god,"
430,"Performs his message, and displays his rod:"
431,The surly murmurs of the people cease;
432,"And, as the fates requir’d, they give the peace:"
433,"The queen herself suspends the rigid laws,"
434,"The Trojans pities, and protects their cause."
435,"Meantime, in shades of night Aeneas lies:"
436,"Care seiz’d his soul, and sleep forsook his eyes."
437,"But, when the sun restor’d the cheerful day,"
438,"He rose, the coast and country to survey,"
439,Anxious and eager to discover more.
440,It look’d a wild uncultivated shore;
441,"But, whether humankind, or beasts alone"
442,"Possess’d the new-found region, was unknown."
443,Beneath a ledge of rocks his fleet he hides:
444,Tall trees surround the mountain’s shady sides;
445,The bending brow above a safe retreat provides.
446,"Arm’d with two pointed darts, he leaves his friends,"
447,And true Achates on his steps attends.
448,"Lo! in the deep recesses of the wood,"
449,Before his eyes his goddess mother stood:
450,A huntress in her habit and her mien;
451,"Her dress a maid, her air confess’d a queen."
452,"Bare were her knees, and knots her garments bind;"
453,"Loose was her hair, and wanton’d in the wind;"
454,Her hand sustain’d a bow; her quiver hung behind.
455,She seem’d a virgin of the Spartan blood:
456,With such array Harpalyce bestrode
457,Her Thracian courser and outstripp’d the rapid flood.
458,"“Ho, strangers! have you lately seen,” she said,"
459,"“One of my sisters, like myself array’d,"
460,"Who cross’d the lawn, or in the forest stray’d?"
461,A painted quiver at her back she bore;
462,"Varied with spots, a lynx’s hide she wore;"
463,And at full cry pursued the tusky boar.”
464,Thus Venus: thus her son replied again:
465,"“None of your sisters have we heard or seen,"
466,O virgin! or what other name you bear
467,Above that style; O more than mortal fair!
468,Your voice and mien celestial birth betray!
469,"If, as you seem, the sister of the day,"
470,"Or one at least of chaste Diana’s train,"
471,Let not an humble suppliant sue in vain;
472,"But tell a stranger, long in tempests toss’d,"
473,"What earth we tread, and who commands the coast?"
474,"Then on your name shall wretched mortals call,"
475,And offer’d victims at your altars fall.”
476,"“I dare not,” she replied, “assume the name"
477,"Of goddess, or celestial honours claim:"
478,"For Tyrian virgins bows and quivers bear,"
479,And purple buskins o’er their ankles wear.
480,"Know, gentle youth, in Libyan lands you are:"
481,"A people rude in peace, and rough in war."
482,"The rising city, which from far you see,"
483,"Is Carthage, and a Tyrian colony."
484,"Phoenician Dido rules the growing state,"
485,"Who fled from Tyre, to shun her brother’s hate."
486,"Great were her wrongs, her story full of fate;"
487,"Which I will sum in short. Sichaeus, known"
488,"For wealth, and brother to the Punic throne,"
489,Possess’d fair Dido’s bed; and either heart
490,At once was wounded with an equal dart.
491,"Her father gave her, yet a spotless maid;"
492,Pygmalion then the Tyrian scepter sway’d:
493,One who condemn’d divine and human laws.
494,"Then strife ensued, and cursed gold the cause."
495,"The monarch, blinded with desire of wealth,"
496,With steel invades his brother’s life by stealth;
497,"Before the sacred altar made him bleed,"
498,And long from her conceal’d the cruel deed.
499,"Some tale, some new pretence, he daily coin’d,"
500,"To soothe his sister, and delude her mind."
501,"At length, in dead of night, the ghost appears"
502,"Of her unhappy lord: the spectre stares,"
503,"And, with erected eyes, his bloody bosom bares."
504,"The cruel altars and his fate he tells,"
505,"And the dire secret of his house reveals,"
506,"Then warns the widow, with her household gods,"
507,To seek a refuge in remote abodes.
508,"Last, to support her in so long a way,"
509,He shows her where his hidden treasure lay.
510,"Admonish’d thus, and seiz’d with mortal fright,"
511,The queen provides companions of her flight:
512,"They meet, and all combine to leave the state,"
513,"Who hate the tyrant, or who fear his hate."
514,"They seize a fleet, which ready rigg’d they find;"
515,Nor is Pygmalion’s treasure left behind.
516,"The vessels, heavy laden, put to sea"
517,With prosp’rous winds; a woman leads the way.
518,"I know not, if by stress of weather driv’n,"
519,Or was their fatal course dispos’d by Heav’n;
520,"At last they landed, where from far your eyes"
521,May view the turrets of new Carthage rise;
522,"There bought a space of ground, which Byrsa call’d,"
523,"From the bull’s hide, they first inclos’d, and wall’d."
524,But whence are you? what country claims your birth?
525,"What seek you, strangers, on our Libyan earth?”"
526,"To whom, with sorrow streaming from his eyes,"
527,"And deeply sighing, thus her son replies:"
528,"“Could you with patience hear, or I relate,"
529,"O nymph, the tedious annals of our fate!"
530,"Thro’ such a train of woes if I should run,"
531,The day would sooner than the tale be done!
532,"From ancient Troy, by force expell’d, we came,"
533,If you by chance have heard the Trojan name.
534,"On various seas by various tempests toss’d,"
535,At length we landed on your Libyan coast.
536,"The good Aeneas am I call’d, a name,"
537,"While Fortune favour’d, not unknown to fame."
538,"My household gods, companions of my woes,"
539,With pious care I rescued from our foes.
540,To fruitful Italy my course was bent;
541,And from the King of Heav’n is my descent.
542,With twice ten sail I cross’d the Phrygian sea;
543,Fate and my mother goddess led my way.
544,"Scarce sev’n, the thin remainders of my fleet,"
545,"From storms preserv’d, within your harbour meet."
546,"Myself distress’d, an exile, and unknown,"
547,"Debarr’d from Europe, and from Asia thrown,"
548,In Libyan deserts wander thus alone.”
549,His tender parent could no longer bear;
550,"But, interposing, sought to soothe his care."
551,"“Whoe’er you are, not unbelov’d by Heav’n,"
552,Since on our friendly shore your ships are driv’n:
553,"Have courage: to the gods permit the rest,"
554,And to the queen expose your just request.
555,"Now take this earnest of success, for more:"
556,Your scatter’d fleet is join’d upon the shore;
557,"The winds are chang’d, your friends from danger free;"
558,Or I renounce my skill in augury.
559,"Twelve swans behold in beauteous order move,"
560,And stoop with closing pinions from above;
561,"Whom late the bird of Jove had driv’n along,"
562,And thro’ the clouds pursued the scatt’ring throng:
563,"Now, all united in a goodly team,"
564,"They skim the ground, and seek the quiet stream."
565,"As they, with joy returning, clap their wings,"
566,And ride the circuit of the skies in rings;
567,"Not otherwise your ships, and ev’ry friend,"
568,"Already hold the port, or with swift sails descend."
569,No more advice is needful; but pursue
570,"The path before you, and the town in view.”"
571,"Thus having said, she turn’d, and made appear"
572,"Her neck refulgent, and dishevel’d hair,"
573,"Which, flowing from her shoulders, reach’d the ground."
574,And widely spread ambrosial scents around:
575,In length of train descends her sweeping gown;
576,"And, by her graceful walk, the Queen of Love is known."
577,The prince pursued the parting deity
578,With words like these: “Ah! whither do you fly?
579,Unkind and cruel! to deceive your son
580,"In borrow’d shapes, and his embrace to shun;"
581,"Never to bless my sight, but thus unknown;"
582,And still to speak in accents not your own.”
583,"Against the goddess these complaints he made,"
584,"But took the path, and her commands obey’d."
585,"They march, obscure; for Venus kindly shrouds"
586,"With mists their persons, and involves in clouds,"
587,"That, thus unseen, their passage none might stay,"
588,Or force to tell the causes of their way.
589,"This part perform’d, the goddess flies sublime"
590,To visit Paphos and her native clime;
591,"Where garlands, ever green and ever fair,"
592,"With vows are offer’d, and with solemn pray’r:"
593,A hundred altars in her temple smoke;
594,A thousand bleeding hearts her pow’r invoke.
595,"They climb the next ascent, and, looking down,"
596,Now at a nearer distance view the town.
597,"The prince with wonder sees the stately tow’rs,"
598,"Which late were huts and shepherds’ homely bow’rs,"
599,"The gates and streets; and hears, from ev’ry part,"
600,The noise and busy concourse of the mart.
601,The toiling Tyrians on each other call
602,To ply their labour: some extend the wall;
603,Some build the citadel; the brawny throng
604,"Or dig, or push unwieldly stones along."
605,"Some for their dwellings choose a spot of ground,"
606,"Which, first design’d, with ditches they surround."
607,Some laws ordain; and some attend the choice
608,"Of holy senates, and elect by voice."
609,"Here some design a mole, while others there"
610,Lay deep foundations for a theatre;
611,"From marble quarries mighty columns hew,"
612,"For ornaments of scenes, and future view."
613,"Such is their toil, and such their busy pains,"
614,"As exercise the bees in flow’ry plains,"
615,"When winter past, and summer scarce begun,"
616,Invites them forth to labour in the sun;
617,"Some lead their youth abroad, while some condense"
618,"Their liquid store, and some in cells dispense;"
619,Some at the gate stand ready to receive
620,"The golden burthen, and their friends relieve;"
621,"All with united force, combine to drive"
622,The lazy drones from the laborious hive:
623,"With envy stung, they view each other’s deeds;"
624,The fragrant work with diligence proceeds.
625,"“Thrice happy you, whose walls already rise!”"
626,"Aeneas said, and view’d, with lifted eyes,"
627,"Their lofty tow’rs; then, ent’ring at the gate,"
628,Conceal’d in clouds (prodigious to relate)
629,"He mix’d, unmark’d, among the busy throng,"
630,"Borne by the tide, and pass’d unseen along."
631,"Full in the centre of the town there stood,"
632,"Thick set with trees, a venerable wood."
633,"The Tyrians, landing near this holy ground,"
634,"And digging here, a prosp’rous omen found:"
635,"From under earth a courser’s head they drew,"
636,Their growth and future fortune to foreshew.
637,"This fated sign their foundress Juno gave,"
638,"Of a soil fruitful, and a people brave."
639,Sidonian Dido here with solemn state
640,"Did Juno’s temple build, and consecrate,"
641,"Enrich’d with gifts, and with a golden shrine;"
642,But more the goddess made the place divine.
643,"On brazen steps the marble threshold rose,"
644,And brazen plates the cedar beams inclose:
645,The rafters are with brazen cov’rings crown’d;
646,The lofty doors on brazen hinges sound.
647,"What first Aeneas in this place beheld,"
648,"Reviv’d his courage, and his fear expell’d."
649,"For while, expecting there the queen, he rais’d"
650,"His wond’ring eyes, and round the temple gaz’d,"
651,"Admir’d the fortune of the rising town,"
652,"The striving artists, and their arts’ renown;"
653,"He saw, in order painted on the wall,"
654,Whatever did unhappy Troy befall:
655,"The wars that fame around the world had blown,"
656,"All to the life, and ev’ry leader known."
657,"There Agamemnon, Priam here, he spies,"
658,"And fierce Achilles, who both kings defies."
659,"He stopp’d, and weeping said: “O friend! ev’n here"
660,The monuments of Trojan woes appear!
661,Our known disasters fill ev’n foreign lands:
662,"See there, where old unhappy Priam stands!"
663,"Ev’n the mute walls relate the warrior’s fame,"
664,And Trojan griefs the Tyrians’ pity claim.”
665,"He said, his tears a ready passage find,"
666,"Devouring what he saw so well design’d,"
667,And with an empty picture fed his mind:
668,"For there he saw the fainting Grecians yield,"
669,"And here the trembling Trojans quit the field,"
670,"Pursued by fierce Achilles thro’ the plain,"
671,On his high chariot driving o’er the slain.
672,"The tents of Rhesus next, his grief renew,"
673,By their white sails betray’d to nightly view;
674,"And wakeful Diomede, whose cruel sword"
675,"The sentries slew, nor spar’d their slumb’ring lord,"
676,"Then took the fiery steeds, ere yet the food"
677,"Of Troy they taste, or drink the Xanthian flood."
678,Elsewhere he saw where Troilus defied
