,original,paraphrase,output,output_reference
138,"Of the bodies, and the grete honour
","the body, the honor of the grete, the honor of the grete."," The body, the honor of the grete, the honor of the grete.","Of the bodies, and the great honor
"
139,"That Theseus, the noble conquerour,
","theseus, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble..."," Theseus, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble ","That Theseus, the noble conqueror,
"
140,"Dooth to the ladyes, whan they from hym wente;
","when they came to the lady, they took her away;"," And when they came to the lady, they took her away;","Does to the ladies, when they went from him;
"
141,"But shortly for to telle is myn entente.
",soon I'll be in my nentente., Soon I shall be in my nentente.,"But briefly to tell is my intent.
"
142,"Whan that this worthy duc, this Theseus,
","that's what it is, this is what it is, this is what it is, this is what it is, this is what it is,..."," That is what it is, this is what it is, this is what it is, this is what it is, this is what it is, this is what it is, this is what it is, this is what it is, this is what it is, this","When this worthy duke, this Theseus,
"
143,"Hath Creon slayn and wonne Thebes thus,
",the Hath Creon killed and won thebes., Hath Creon killed and won thebes.,"Has slain Creon and thus won Thebes,
"
144,"Stille in that feeld he took al nyght his reste,
","he took his rest in the feeld, and he took his rest."," He took his rest in the feeld, and he took his rest.","Still in that field he took all night his rest,
"
145,"And dide with al the contree as hym leste.
",he must be careful to avoid the tree as much as possible., He must not be careful to avoid the tree as much as possible.,"And did with all the country as he pleased.
"
146,"To ransake in the taas of bodyes dede,
","the body of the body is a ransack, the body is a ransack."," And the body of the body is a ransack, the body is a ransack.","To search in the heap of dead bodies,
"
147,"Hem for to strepe of harneys and of wede,
",Hem for the strepe of harney and the wede., Hem for the strepe of harney and wede.,"To strip them of armor and of clothing,
"
148,"The pilours diden bisynesse and cure
",the pilours have been cured with bisynesse and cure., The pilours have been cured of bisynesse and cure.,"The scavengers took great pains and worked hard
"
149,"After the bataille and disconfiture.
",the bataille and the disquieting., The bataille and disquieting.,"After the battle and defeat.
"
150,"And so bifel that in the taas they founde,
","so they found out that they were in the taas, so they were in the taas."," So they found out that they were in the taas, so they were in the taas.","And (it) so befell that in the heap they found,
"
151,"Thurgh-girt with many a grevous blody wounde,
","a lot of greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy,"," A lot of greasy, greasy, greasy, greasy, greasy, greasy, greasy, ","Pierced through with many a grievous bloody wound,
"
152,"Two yonge knyghtes liggynge by and by,
","yonge knyghte's liggyng by and by,"," Yonge knyghte's liggyng by and by,","Two young knights lying side by side,
"
153,"Bothe in oon armes, wroght ful richely,
","the armes of the oon armes, wroght very rich,"," The armes of the oon armes, wroght very rich,","Both with the same coat of arms, very richly wrought,
"
154,"Of whiche two Arcita highte that oon,
","two Arcita's highte, two Arcita's highte, two Arcita's highte."," Two Arcita's highte, two Arcita's highte, two Arcita's highte.","Of which two one was called Arcite,
"
155,"And that oother knyght highte Palamon.
","the other one is Palamon, the other is Palamon."," The other one is Palamon, the other is Palamon.","And that other knight was called Palamon.
"
156,"Nat fully quyke, ne fully dede they were,
","they were fully aware of the fact that they were, and they were fully aware of the fact that they..."," They were fully aware of the fact that they were, and they were fully aware of the fact that they--","They were not fully alive, nor fully dead,
"
157,"But by hir cote-armures and by hir gere
",by the cote-armure and by the gere of the cote-armure., And by the cote-armure and by the gere of the cote-armure.,"But by their coats of arms and by their equipment
"
158,"The heraudes knewe hem best in special
",he knew best in the best of heraudes., He knew best in heraude.,"The heralds best knew them in particular
"
159,"As they that weren of the blood roial
",they were blood-stained with blood., Blood-stained with blood.,"As they that were of the royal blood
"
160,"Of Thebes, and of sustren two yborn.
","thebes, and the two sons of the same family."," Thebes, and the two sons of the same family.","Of Thebes, and born of two sisters.
"
161,"Out of the taas the pilours han hem torn,
","the pilours of the haves are torn, the haves are torn, the haves are torn."," The haves are torn, the haves are torn, the haves are torn.","The scavengers have pulled them out of the heap,
"
