,ASV_Original,ASV_Paraphrased,BBE_Original
13,"And the cart came into the field of Joshua the Beth-shemite, and stood there, where there was a great stone: and they clave the wood of the cart, and offered up the kine for a burnt-offering unto Jehovah. 
","the cart was taken to Joshua's Beth-shemite, and stood in the field, where there was a great stone: and they took the cart to the fire.","And the cart came into the field of Joshua the Beth-shemite, and came to a stop there by a great stone: and cutting up the wood of the cart they made a burned offering of the cows to the Lord.
"
14,"And the Levites took down the ark of Jehovah, and the coffer that was with it, wherein the jewels of gold were, and put them on the great stone: and the men of Beth-shemesh offered burnt-offerings and sacrificed sacrifices the same day unto Jehovah. 
","the men of Beth-shemesh, who were with the ark, took the gold and the gold coffer, and put them on the great stone.","Then the Levites took down the ark of the Lord and the chest in which were the gold images, and put them on the great stone: and the men of Beth-shemesh made burned offerings and gave worship that day before the Lord.
"
15,"And when the five lords of the Philistines had seen it, they returned to Ekron the same day.
","the same day, the five rulers of the Philistians saw him.","And the five lords of the Philistines, having seen it, went back to Ekron the same day.
"
16,"And these are the golden tumors which the Philistines returned for a trespass-offering unto Jehovah: for Ashdod one, for Gaza one, for Ashkelon one, for Gath one, for Ekron one; 
","for Ashdod, for Gaza, for Ashkelon, for Gath, for Ekron, for Ekron, for Gath, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for","Now these are the gold images which the Philistines sent as a sin-offering to the Lord; one for Ashdod, one for Gaza, one for Ashkelon, one for Gath, one for Ekron;
"
17,"and the golden mice, according to the number of all the cities of the Philistines belonging to the five lords, both of fortified cities and of country villages, even unto the great stone, whereon they set down the ark of Jehovah, which stone remaineth unto this day in the field of Joshua the Beth-shemite.
","according to the number of all the cities of the Philistines, both in fortified cities and in the countryside, even to the great stone, where they built the ark of God, the golden mice, according to the number of all the cities of the Philistines.","And the gold mice, one for every town of the Philistines, the property of the five lords, walled towns as well as country places: and the great stone where they put the ark of the Lord is still in the field of Joshua the Beth-shemite to this day.
"
18,"And he smote of the men of Beth-shemesh, because they had looked into the ark of Jehovah, he smote of the people seventy men, and fifty thousand men; and the people mourned, because Jehovah had smitten the people with a great slaughter. 
","he struck the men of Beth-shemesh, because they looked into the ark of Jehovah, and he struck seventy men and fifty thousand people.","But the Lord sent destruction on seventy men of the people of Beth-shemesh for looking into the ark of the Lord; and great was the sorrow of the people for the destruction which the Lord had sent on them.
"
19,"And the men of Beth-shemesh said, Who is able to stand before Jehovah, this holy God? and to whom shall he go up from us? 
",who can stand before God's holy God?,"And the men of Beth-shemesh said, Who is able to keep his place before the Lord, this holy God? and to whom may he go from us?
"
20,"And they sent messengers to the inhabitants of Kiriath-jearim, saying, The Philistines have brought back the ark of Jehovah; come ye down, and fetch it up to you. ","the Philistians brought the ark of Jehovah to Kiriath-jearim, and they sent messengers to the inhabitants of the city.","And they sent men to the people living in Kiriath-jearim, saying, The Philistines have sent back the ark of the Lord; come and take it up to your country.
"
21,"They that trust in Jehovah Are as mount Zion, which cannot be moved, but abideth for ever.
","the ones who trust in God are like Mount Zion, which can't be moved, but will remain forever.","&lt;A Song of the going up.&gt; Those whose hope is in the Lord are like the mountain of Zion, which may not be moved, but keeps its place for ever.
"
22,"As the mountains are round about Jerusalem, So Jehovah is round about his people From this time forth and for evermore.
","from now on and forevermore, the mountains are round about Jerusalem, so that the people of God are round about them.","As the mountains are round about Jerusalem, so the Lord is round about his people, from this time and for ever.
"
23,"For the sceptre of wickedness shall not rest upon the lot of the righteous; That the righteous put not forth their hands unto iniquity.
",the righteous will not be able to rest on the lot of the righteous; that the righteous will not be able to offend.,"For the rod of sinners will not be resting on the heritage of the upright; so that the upright may not put out their hands to evil.
"
24,"Do good, O Jehovah, unto those that are good, And to them that are upright in their hearts.
","good, O Jehovah, to those who are good, and to those who are good.","Do good, O Lord, to those who are good, and to those who are upright in heart.
"
25,"But as for such as turn aside unto their crooked ways, Jehovah will lead them forth with the workers of iniquity. Peace be upon Israel.","for such as turn to their crooked ways, God will lead them to the workers of sin.","But as for such as are turned out of the straight way, the Lord will take them away with the workers of evil. Let peace be on Israel.
"
26,"And Agrippa said unto Paul, Thou art permitted to speak for thyself. Then Paul stretched forth his hand, and made his defence:
","then Agrippa said, Thou can speak for yourself. Then Paul raised his hand and defended himself:","And Agrippa said to Paul, You may put your cause before us. Then Paul, stretching out his hand, made his answer, saying:
"
27,"I think myself happy, king Agrippa, that I am to make my defence before thee this day touching all the things whereof I am accused by the Jews: 
","I'm happy to defend myself, Agrippa, for the sake of the Jews, who accuse me of everything I'm accused of today:","In my opinion I am happy, King Agrippa, to be able to give my answer before you today to all these things which the Jews say against me:
"
28,"especially because thou art expert in all customs and questions which are among the Jews: wherefore I beseech thee to hear me patiently. 
","because I beg you to listen to me patiently, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you","The more so, because you are expert in all questions to do with the Jews and their ways: so I make my request to you to give me a hearing to the end.
"
29,"My manner of life then from my youth up, which was from the beginning among mine own nation and at Jerusalem, know all the Jews; 
","I know all Jews from my youth up to Jerusalem, and from the beginning of my nation.","All the Jews have knowledge of my way of life from my early years, as it was from the start among my nation, and at Jerusalem;
"
30,"having knowledge of me from the first, if they be willing to testify, that after the straitest sect of our religion I lived a Pharisee. 
","if they want to testify, they will tell me the first thing they know about me, if they can.","And they are able to say, if they would give witness, that I was living as a Pharisee, in that division of our religion which is most regular in the keeping of the law.
"
31,"And now I stand here to be judged for the hope of the promise made of God unto our fathers; 
",now I'm here to judge the promise of God's promise to our fathers.,"And now I am here to be judged because of the hope given by God's word to our fathers;
"
32,"unto which promise our twelve tribes, earnestly serving God night and day, hope to attain. And concerning this hope I am accused by the Jews, O king! 
","I'm accused of the Jews, king, of the promise of the twelve tribes.","For the effecting of which our twelve tribes have been working and waiting night and day with all their hearts. And in connection with this hope I am attacked by the Jews, O king!
"
33,"Why is it judged incredible with you, if God doth raise the dead? 
","if God's dead, is it amazing to you?","Why, in your opinion, is it outside belief for God to make the dead come to life again?
"
34,"I verily thought with myself that I ought to do many things contrary to the name of Jesus of Nazareth. 
",I thought of many things that were contrary to the name of Jesus Christ.,"For I, truly, was of the opinion that it was right for me to do a number of things against the name of Jesus of Nazareth.
"
35,"And this I also did in Jerusalem: and I both shut up many of the saints in prisons, having received authority from the chief priests, and when they were put to death I gave my vote against them. 
","I've done it in Jerusalem, and I've also taken many of the saints to prison, and when they were killed, I voted against them.","And this I did in Jerusalem: and numbers of the saints I put in prison, having had authority given to me from the chief priests, and when they were put to death, I gave my decision against them.
"
36,"And punishing them oftentimes in all the synagogues, I strove to make them blaspheme; and being exceedingly mad against them, I persecuted them even unto foreign cities. 
","I tried to punish them often in all the synagogues, and I was often angry with them, and I was often angry with them abroad.","And I gave them punishment frequently, in all the Synagogues, forcing them to say things against God; and burning with passion against them, I went after them even into far-away towns.
"
37,"Whereupon as I journeyed to Damascus with the authority and commission of the chief priests, 
","as I'm going to Damascus with the authority and authority of the priests, I'm going to Damascus.","Then, when I was journeying to Damascus with the authority and orders of the chief priests,
"
38,"at midday, O king, I saw on the way a light from heaven, above the brightness of the sun, shining round about me and them that journeyed with me. 
","as I walked, I saw a light from the sky, shining round about me and the others, and I was amazed by the light.","In the middle of the day, on the road I saw a light from heaven, brighter than the sun, shining round me and those who were journeying with me.
"
39,"And when we were all fallen to the earth, I heard a voice saying unto me in the Hebrew language, Saul, Saul, why persecutest thou me? it is hard for thee to kick against the goad. 
","Saul, why persecut me? It's hard for you to kick me on the ground.","And when we had all gone down on the earth, a voice came to me, saying in the Hebrew language, Saul, Saul, why are you attacking me so cruelly? It is hard for you to go against the impulse which is driving you.
"
40,"And I said, Who art thou, Lord? And the Lord said, I am Jesus whom thou persecutest. 
","the Lord said, I'm Jesus, you're the one who's persecuting me.","And I said, Who are you, Lord? And the Lord said, I am Jesus, whom you are attacking.
"
41,"But arise, and stand upon thy feet: for to this end have I appeared unto thee, to appoint thee a minister and a witness both of the things wherein thou hast seen me, and of the things wherein I will appear unto thee; 
","I have appeared to you, and I have appointed you a minister and a witness to what you saw me and what I will show you.","But get up on your feet: for I have come to you for this purpose, to make you a servant and a witness of the things in which you have seen me, and of those in which you will see me;
"
42,"delivering thee from the people, and from the Gentiles, unto whom I send thee, 
","I'll give you to the people, and the Gentiles I'll send you.","And I will keep you safe from the people, and from the Gentiles, to whom I send you,
"
43,"to open their eyes, that they may turn from darkness to light and from the power of Satan unto God, that they may receive remission of sins and an inheritance among them that are sanctified by faith in me. 
","to open their eyes, so that they may turn to light and from the power of Satan to God, that they may be forgiven and blessed.","To make their eyes open, turning them from the dark to the light, and from the power of Satan to God, so that they may have forgiveness of sins and a heritage among those who are made holy by faith in me.
"
44,"Wherefore, O king Agrippa, I was not disobedient unto the heavenly vision: 
","I did not disobey the heavenly vision, O Agrippa, I have not been disobedient to the heavenly vision.","So, then, King Agrippa, I did not go against the vision from heaven;
"
45,"but declared both to them of Damascus first, and at Jerusalem, and throughout all the country of Judaea, and also to the Gentiles, that they should repent and turn to God, doing works worthy of repentance. 
","they were both declared by Damascus, and at Jerusalem, and throughout the country of Judaea, and also to the gentiles, to repent and turn to God, and they would be worthy of repentance.","But I went about, first to those in Damascus and Jerusalem, and through all the country of Judaea, and then to the Gentiles, preaching a change of heart, so that they, being turned to God, might give, in their works, the fruits of a changed heart.
"
46,"For this cause the Jews seized me in the temple, and assayed to kill me. 
","they took me to the temple, and they tried to kill me.","For this reason, the Jews took me in the Temple, and made an attempt to put me to death.
"
47,"Having therefore obtained the help that is from God, I stand unto this day testifying both to small and great, saying nothing but what the prophets and Moses did say should come; 
","I have therefore testified to the small and great, saying nothing but what the prophet and the prophet had said should be;","And so, by God's help, I am here today, witnessing to small and great, saying nothing but what the prophets and Moses said would come about;
"
48,"how that the Christ must suffer, and how that he first by the resurrection of the dead should proclaim light both to the people and to the Gentiles.
","how the Lord must suffer, and how he will be proclaimed by the light of the dead to the people and the gentiles.","That the Christ would go through pain, and being the first to come back from the dead, would give light to the people and to the Gentiles.
"
49,"And as he thus made his defence, Festus saith with a loud voice, Paul, thou art mad; thy much learning is turning thee mad. 
","Paul, you're crazy, you've learned too much, you've learned too much.","And when he made his answer in these words, Festus said in a loud voice, Paul, you are off your head; your great learning has made you unbalanced.
"
50,"But Paul saith, I am not mad, most excellent Festus; but speak forth words of truth and soberness. 
","I'm not crazy, but I'm telling the truth and soberly.","Then Paul said, I am not off my head, most noble Festus, but my words are true and wise.
"
51,"For the king knoweth of these things, unto whom also I speak freely: for I am persuaded that none of these things is hidden from him; for this hath not been done in a corner. 
","for I am convinced that none of these things is hidden from him, for I have not done it in a corner.","For the king has knowledge of these things, to whom I am talking freely; being certain that all this is common knowledge to him; for it has not been done in secret.
"
52,"King Agrippa, believest thou the prophets? I know that thou believest. 
","Agrippa, do you believe the prophet?","King Agrippa, have you faith in the prophets? I am certain that you have.
"
53,"And Agrippa said unto Paul, With but little persuasion thou wouldest fain make me a Christian. 
","Agrippa said, with a little persuasion, you would be a Christian.","And Agrippa said to Paul, A little more and you will be making me a Christian.
"
54,"And Paul said, I would to God, that whether with little or with much, not thou only, but also all that hear me this day, might become such as I am, except these bonds.
","except for those bonds, Paul said, I'd like to be like you, except for the bonds.","And Paul said, It is my prayer to God that, in little or great measure, not only you, but all those hearing me today might be even as I am, but for these chains.
"
55,"And the king rose up, and the governor, and Bernice, and they that sat with them: 
","the king rose, and the governor, and Bernice, and they sat down.","And the king and the ruler and Bernice and those who were seated with them got up;
"
56,"and when they had withdrawn, they spake one to another, saying, This man doeth nothing worthy of death or of bonds. 
","they spoke one to the other, and they said, This man's not worth dying or dying.","And when they had gone away they said to one another, This man has done nothing which might give cause for death or prison.
"
57,"And Agrippa said unto Festus, This man might have been set at liberty, if he had not appealed unto Caesar.","if he hadn't appealed to Caesar, he might have been released, Agrippa said.","And Agrippa said to Festus, This man might have been made free, if he had not put his cause before Caesar.
"
58,"Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother, 
","the Lord Jesus Christ, the Holy Spirit, and the brother of Timothy, the Lord's brother.","Paul, an Apostle of Jesus Christ, by the purpose of God, and Timothy our brother,
"
59,"to the saints and faithful brethren in Christ that are at Colossae: Grace to you and peace from God our Father.
",to the saints and faithful of the Colossians: Blessings to you and peace from God.,"To the saints and true brothers in Christ at Colossae: Grace to you and peace from God our Father.
"
60,"We give thanks to God the Father of our Lord Jesus Christ, praying always for you, 
","thank God for the Lord's father, who always prays for you,","We give praise to God the Father of our Lord Jesus Christ, making prayer for you at all times,
"
61,"having heard of your faith in Christ Jesus, and of the love which ye have toward all the saints, 
","you have heard of the love you have for all saints, and the love you have for God.","After hearing of your faith in Christ Jesus, and of the love which you have for all the saints,
"
62,"because of the hope which is laid up for you in the heavens, whereof ye heard before in the word of the truth of the gospel, 
","the hope that you have in heaven, where you heard the truth of the gospel,","Through the hope which is in store for you in heaven; knowledge of which was given to you before in the true word of the good news,
"
63,"which is come unto you; even as it is also in all the world bearing fruit and increasing, as it doth in you also, since the day ye heard and knew the grace of God in truth; 
","as it is in all the world, and as it is in you, as it is in the world, so it is in you, as it is in the world, and as it is in the world, so it is in you, as it is in the world, and as it is in the world, so it is in you, as it is in the world, and as it is in the world, so it is in the world, and as it is in the","Which has come to you; and which in all the world is giving fruit and increase, as it has done in you from the day when it came to your ears and you had true knowledge of the grace of God;
"
64,"even as ye learned of Epaphras our beloved fellow-servant, who is a faithful minister of Christ on our behalf, 
","as you know, Epaphras our beloved friend, who is a faithful minister of God, is a friend of yours.","As it was given to you by Epaphras, our well-loved helper, who is a true servant of Christ for us,
"
65,"who also declared unto us your love in the Spirit.
","in the spirit, he declared his love for us.","And who, himself, made clear to us your love in the Spirit.
"
66,"For this cause we also, since the day we heard it, do not cease to pray and make request for you, that ye may be filled with the knowledge of his will in all spiritual wisdom and understanding, 
","because we have not ceased to pray and ask you to be filled with knowledge of his will, we have not ceased to pray and ask you to understand him.","For this reason, we, from the day when we had word of it, keep on in prayer for you, that you may be full of the knowledge of his purpose, with all wisdom and experience of the Spirit,
"
67,"to walk worthily of the Lord unto all pleasing, bearing fruit in every good work, and increasing in the knowledge of God; 
","to be worthy of the Lord's good, to be worthy of the Lord's good, to be worthy of the Lord's good;","Living uprightly in the approval of the Lord, giving fruit in every good work, and increasing in the knowledge of God;
"
68,"strengthened with all power, according to the might of his glory, unto all patience and longsuffering with joy; 
","to all patience and longsuffering with joy, strengthened by all power, to all patience and longsuffering;","Full of strength in the measure of the great power of his glory, so that you may undergo all troubles with joy;
"
69,"giving thanks unto the Father, who made us meet to be partakers of the inheritance of the saints in light; 
","thanks to the Father, who gave us the opportunity to share the inheritance of the saints in light;","Giving praise to the Father who has given us a part in the heritage of the saints in light;
"
70,"who delivered us out of the power of darkness, and translated us into the kingdom of the Son of his love; 
","the power of darkness, and the power of love, gave us the power to be released from the darkness;","Who has made us free from the power of evil and given us a place in the kingdom of the Son of his love;
"
71,"in whom we have our redemption, the forgiveness of our sins: 
","the forgiveness of sins, the forgiveness of sins, the forgiveness of sins:","In whom we have our salvation, the forgiveness of sins:
"
72,"who is the image of the invisible God, the firstborn of all creation; 
","the invisible God, the firstborn of all creation;","Who is the image of the unseen God coming into existence before all living things;
"
73,"for in him were all things created, in the heavens and upon the earth, things visible and things invisible, whether thrones or dominions or principalities or powers; all things have been created through him, and unto him; 
","everything was created in heaven and on earth, visible and invisible, whether on the throne or the ground, everything was created by him.","For by him all things were made, in heaven and on earth, things seen and things unseen, authorities, lords, rulers, and powers; all things were made by him and for him;
"
74,"and he is before all things, and in him all things consist. 
","he's all about everything, and everything is in him.","He is before all things, and in him all things have being.
"
75,"And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all things he might have the preeminence. 
","he's the head of the body, the church: the firstborn of the dead.","And he is the head of the body, the church: the starting point of all things, the first to come again from the dead; so that in all things he might have the chief place.
"
76,"For it was the good pleasure of the Father that in him should all the fulness dwell; 
",the joy of the father was that he should be full of joy;,"For God in full measure was pleased to be in him;
"
77,"and through him to reconcile all things unto himself, having made peace through the blood of his cross; through him, I say, whether things upon the earth, or things in the heavens. 
","I mean, if you're on the ground, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or in the sky, or","Through him uniting all things with himself, having made peace through the blood of his cross; through him, I say, uniting all things which are on earth or in heaven.
"
78,"And you, being in time past alienated and enemies in your mind in your evil works, 
","you, who have been in the past, enemies and enemies in your mind,","And you, who in the past were cut off and at war with God in your minds through evil works, he has now made one
"
79,"yet now hath he reconciled in the body of his flesh through death, to present you holy and without blemish and unreproveable before him: 
","he has now taken his body to his death, and he has taken his soul to his soul, and he has not yet found a way to be holy and without blemish.","In the body of his flesh through death, so that you might be holy and without sin and free from all evil before him:
"
80,"if so be that ye continue in the faith, grounded and stedfast, and not moved away from the hope of the gospel which ye heard, which was preached in all creation under heaven; whereof I Paul was made a minister.
","I Paul was a minister of the gospel, and I have been a minister of the gospel since the beginning of the world.","If you keep yourselves safely based in the faith, not moved from the hope of the good news which came to you, and which was given to every living being under heaven; of which I, Paul, was made a servant.
"
81,"Now I rejoice in my sufferings for your sake, and fill up on my part that which is lacking of the afflictions of Christ in my flesh for his body's sake, which is the church; 
","I'm glad to be able to suffer for your sake, and I'm filling up the things that are missing from the body of Christ for the sake of the church;","Now I have joy in my pain because of you, and in my flesh I undergo whatever is still needed to make the sorrows of Christ complete, for the salvation of his body, the church;
"
82,"whereof I was made a minister, according to the dispensation of God which was given me to you-ward, to fulfil the word of God, 
","I've been appointed a minister, according to God's word, to fulfill the word of God.","Of which I became a servant by the purpose of God which was given to me for you, to give effect to the word of God,
"
83,"even the mystery which hath been hid for ages and generations: but now hath it been manifested to his saints, 
",the mystery of the ages and generations of secrecy: but now he has revealed it to his saints.,"The secret which has been kept from all times and generations, but has now been made clear to his saints,
"
84,"to whom God was pleased to make known what is the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory: 
","the glory of the glory of the mystery of the glory of the gentiles, which is Christ in you, the hope of glory:","To whom God was pleased to give knowledge of the wealth of the glory of this secret among the Gentiles, which is Christ in you, the hope of glory:
"
85,"whom we proclaim, admonishing every man and teaching every man in all wisdom, that we may present every man perfect in Christ; 
","we will teach every man and every man in all wisdom, so that we may be perfect in Christ;","Whom we are preaching; guiding and teaching every man in all wisdom, so that every man may be complete in Christ;
"
86,"whereunto I labor also, striving according to his working, which worketh in me mightily.","I'm working hard, trying to do my job, which I'm very happy to do.","And for this purpose I am working, using all my strength by the help of his power which is working in me strongly.
"
87,"Then Job answered and said,
","""I'm sorry, but I'm afraid I don't have any more."" Said Job.","And Job made answer and said,
"
88,"Oh that my vexation were but weighed, And all my calamity laid in the balances!
","I only weighed my troubles, and all my misfortune was balanced!","If only my passion might be measured, and put into the scales against my trouble!
"
89,"For now it would be heavier than the sand of the seas: Therefore have my words been rash.
","I was rash in my words, therefore I was rash in my words.","For then its weight would be more than the sand of the seas: because of this my words have been uncontrolled.
"
90,"For the arrows of the Almighty are within me, The poison whereof my spirit drinketh up: The terrors of God do set themselves in array against me.
","the arrows of the Almighty are in my soul, the poison that I drink: The horror of God is in my soul.","For the arrows of the Ruler of all are present with me, and their poison goes deep into my spirit: his army of fears is put in order against me.
"
91,"Doth the wild ass bray when he hath grass? Or loweth the ox over his fodder?
","when he's got grass, he's gonna scream, or he'll be low?","Does the ass of the fields give out his voice when he has grass? or does the ox make sounds over his food?
"
92,"Can that which hath no savor be eaten without salt? Or is there any taste in the white of an egg?
",is there any taste in the white of the egg?,"Will a man take food which has no taste without salt? or is there any taste in the soft substance of purslain?
"
93,"My soul refuseth to touch them; They are as loathsome food to me.
",they are loathsome to me as loathsome food.,"My soul has no desire for such things, they are as disease in my food.
"
94,"Oh that I might have my request; And that God would grant me the thing that I long for!
",I'd like to ask God for something I'd like to ask God for!,"If only I might have an answer to my prayer, and God would give me my desire!
"
95,"Even that it would please God to crush me; That he would let loose his hand, and cut me off!
","that he would let me go, and he would cut me off!","If only he would be pleased to put an end to me; and would let loose his hand, so that I might be cut off!
"
96,"And be it still my consolation, Yea, let me exult in pain that spareth not, That I have not denied the words of the Holy One.
","I'm glad I didn't deny the Holy One's words, that I didn't deny the Holy One's words.","So I would still have comfort, and I would have joy in the pains of death, for I have not been false to the words of the Holy One.
"
97,"What is my strength, that I should wait? And what is mine end, that I should be patient?
","what strength do I have, and what strength do I have to wait?","Have I strength to go on waiting, or have I any end to be looking forward to?
"
98,"Is my strength the strength of stones? Or is my flesh of brass?
",is my strength the strength of the stone? Or the metal?,"Is my strength the strength of stones, or is my flesh brass?
"
99,"Is it not that I have no help in me, And that wisdom is driven quite from me?
","isn't it true that I'm not helping me, and that wisdom is driven by me?","I have no help in myself, and wisdom is completely gone from me.
"
100,"To him that is ready to faint kindness should be showed from his friend; Even to him that forsaketh the fear of the Almighty.
","he should show his friend kindness to him, even to him who would not be afraid of God.","He whose heart is shut against his friend has given up the fear of the Ruler of all.
"
101,"My brethren have dealt deceitfully as a brook, As the channel of brooks that pass away;
","brothers have cheated as a brook, as the channel of brooks that are dying;","My friends have been false like a stream, like streams in the valleys which come to an end:
"
102,"Which are black by reason of the ice, And wherein the snow hideth itself:
","because the ice is black, and the snow is black, and the snow is black.","Which are dark because of the ice, and the snow falling into them;
"
103,"What time they wax warm, they vanish; When it is hot, they are consumed out of their place.
","when it's hot, they melt, and when it's hot, they melt.","Under the burning sun they are cut off, and come to nothing because of the heat.
"
104,"The caravans that travel by the way of them turn aside; They go up into the waste, and perish.
",the caravans that travel by the way of them are turning away; they go to the waste.,"The camel-trains go out of their way; they go up into the waste and come to destruction.
"
105,"The caravans of Tema looked, The companies of Sheba waited for them.
","the Tema caravan was waiting for them, the Sheba's company waiting.","The camel-trains of Tema were searching with care, the bands of Sheba were waiting for them:
"
106,"They were put to shame because they had hoped; They came thither, and were confounded.
","they were ashamed of themselves, because they hoped; they came, and they were confused.","They were put to shame because of their hope; they came and their hope was gone.
"
107,"For now ye are nothing; Ye see a terror, and are afraid.
","you don't see anything, but fear, and you're afraid.","So have you now become to me; you see my sad condition and are in fear.
"
108,"Did I say, Give unto me? Or, Offer a present for me of your substance?
","or, give me your substance?","Did I say, Give me something? or, Make a payment for me out of your wealth?
"
109,"Or, Deliver me from the adversary's hand? Or, Redeem me from the hand of the oppressors?
","or, Redeem me from the hands of the oppressors?","Or, Get me out of the power of my hater? or, Give money so that I may be free from the power of the cruel ones?
"
110,"Teach me, and I will hold my peace; And cause me to understand wherein I have erred.
","I'll teach you, and I'll be quiet, and I'll understand what I've done wrong.","Give me teaching and I will be quiet; and make me see my error.
"
111,"How forcible are words of uprightness! But your reproof, what doth it reprove?
","what is your reproof, what is it to be reproved?","How pleasing are upright words! but what force is there in your arguments?
"
112,"Do ye think to reprove words, Seeing that the speeches of one that is desperate are as wind?
","do you think you're gonna apologize for the words, seeing that the speech of a desperate man is as wind?","My words may seem wrong to you, but the words of him who has no hope are for the wind.
"
113,"Yea, ye would cast lots upon the fatherless, And make merchandise of your friend.
","you'd be a lot of money for your fatherless, and you'd make your friend's goods.","Truly, you are such as would give up the child of a dead man to his creditors, and would make a profit out of your friend.
"
