,YLT_Original,YLT_Paraphrased,DRA_Original
11,"And the kine go straight in the way, on the way to Beth-Shemesh, in one highway they have gone, going and lowing, and have not turned aside right or left; and the princes of the Philistines are going after them unto the border of Beth-Shemesh.
","they go straight to Beth-Shemesh, and they go down the road, and they go down, and they don't turn, and they don't turn, and they don't turn.","And the kine took the straight way that leadeth to Bethsames, and they went along the way, lowing as they went: and turned not aside neither to the right hand nor to the left: and the lords of the Philistines followed them as far as the borders of Bethsames.
"
12,"And the Beth-Shemeshites are reaping their wheat-harvest in the valley, and they lift up their eyes, and see the ark, and rejoice to see .
","the Beth-Shemeshites are harvesting wheat in the valley, and they look up, and they see the ark, and they are happy to see.","Now the Bethsamites were reaping wheat in the valley: and lifting up their eyes they saw the ark, and rejoiced to see it.
"
13,"And the cart hath come in unto the field of Joshua the Beth-Shemeshite, and standeth there, and there  a great stone, and they cleave the wood of the cart, and the kine they have caused to ascend -- a burnt-offering to Jehovah.
","the cart is on the field of Joshua, and the Beth-Shemeshite is standing there, and there's a great stone, and they're climbing the cart.","And the cart came into the field of Josue a Bethsamite, and stood there. And there was a great stone, and they cut in pieces the wood of the cart, and laid the kine upon it a holocaust to the Lord.
"
14,"And the Levites have taken down the ark of Jehovah, and the coffer which  with it, in which  the vessels of gold, and place  on the great stone; and the men of Beth-Shemesh have caused to ascend burnt-offerings and sacrifice sacrifices in that day to Jehovah;
","the Levites took the ark of Jehovah, and the coffer that was with them, and the gold-colored vessels of the great stone; and the men of Beth-Shemesh took them.","And the Levites took down the ark of God, and the little box that was at the side of it, wherein were the vessels of gold, and they put them upon the great stone. The men also of Bethsames offered holocausts and sacrificed victims that day to the Lord.
"
15,"and the five princes of the Philistines have seen , and turn back  Ekron, on that day.
","on that day, the five princes of the Philistians turned to Ekron, and they turned back.","And the five princes of the Philistines saw, and they returned to Accaron the same day.
"
16,"And these  the golden emerods which the Philistines have sent back -- a guilt-offering to Jehovah: for Ashdod one, for Gaza one, for Ashkelon one, for Gath one, for Ekron one;
","for Ashdod, for Gaza, for Ashkelon, for Gath, for Ekron, for Ekron, for Gath, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for Ekron, for","And these are the golden emerods, which the Philistines returned for sin to the Lord: For Azotus one, for Gaza one, for Ascalon one, for Geth one, for Accaron one:
"
17,"and the golden mice -- the number of all the cities of the Philistines -- for the five princes, from the fenced city even unto the hamlet of the villages, even unto the great meadow on which they placed the ark of Jehovah --  unto this day in the field of Joshua the Beth-Shemeshite.
","the golden mice -- the number of all the cities of the Philistines -- for the five princes, even to the village of the village, even to the great meadow.","And the golden mice according to the number of the cities of the Philistines, of the five provinces, from the fenced city to the village that was without wall, and to the great Abel (the stone) whereon they set down the ark of the Lord, which was till that day in the field of Josue the Bethsamite.
"
18,"And He smiteth among the men of Beth-Shemesh, for they looked into the ark of Jehovah, yea, He smiteth among the people seventy men -- fifty chief men; and the people mourn, because Jehovah smote among the people -- a great smiting.
","he's looking into the ark of Jehovah, and he's looking at the people of Beth-Shemesh, and he's looking at the people of Beth-Shemesh, and they're crying.","But he slew of the men of Bethsames, because they had seen the ark of the Lord: and he slew of the people seventy men, and fifty thousand of the common people. And the people lamented, because the Lord had smitten the people with a great slaughter.
"
19,"And the men of Beth-Shemesh say, `Who is able to stand before Jehovah, this holy God? and unto whom doth He go up from us?'
","""who can stand before God's holy God?"" And the men of Beth-Shemesh asked.","And the men of Bethsames said: Who shall be able to stand before the Lord this holy God? and to whom shall he go up from us?
"
20,"And they send messengers unto the inhabitants of Kirjath-Jearim, saying, `The Philistines have sent back the ark of Jehovah; come down, take it up unto you.'","""the Philistians have sent the ark of Jehovah to Kirjath-Jearim, and they have sent the messenger to the inhabitants of Kirjath-Jearim.""","And they sent messengers to the inhabitants of Cariathiarim, saying: The Philistines have brought back the ark of the Lord, come ye down and fetch it up to you."
21,"A Song of the Ascents. Those trusting in Jehovah  as Mount Zion, It is not moved -- to the age it abideth.
","the ones who trust in God's Mount Zion, they don't move - they're not moving to the age they're staying.","When the lord brought back the captivity of Sion, we became like men comforted.
"
22,"Jerusalem! mountains  round about her, And Jehovah  round about His people, From henceforth even unto the age.
","from the moment of her birth, the mountains around her, the people around her, the whole of them, from the age of the world.","Then was our mouth filled with gladness; and our tongue with joy. Then shall they say among the Gentiles: The Lord hath done great things for them.
"
23,"For the rod of wickedness resteth not On the lot of the righteous, That the righteous put not forth on iniquity their hands.
","the rod of evil is not resting on the lot of the righteous, but on the hands of the wicked.","The Lord hath done great things for us: we are become joyful.
"
24,"Do good, O Jehovah, to the good, And to the upright in their hearts.
","good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good,","Turn again our captivity, O Lord, as a stream in the south.
"
25,"As to those turning  their crooked ways, Jehovah causeth them to go with workers of iniquity. Peace on Israel!",Jehovah will bring them to the workers of sin.,They that sow in tears shall reap in joy.
26,"And Agrippa said unto Paul, `It is permitted to thee to speak for thyself;' then Paul having stretched forth the hand, was making a defence:
","""you can speak for yourself,"" Agrippa said, ""but you can't defend yourself."" Then Paul raised his hand and defended himself:","Then Agrippa said to Paul: Thou art permitted to speak for thyself. Then Paul stretching forth his hand, began to make his answer.
"
27,"`Concerning all things of which I am accused by Jews, king Agrippa, I have thought myself happy, being about to make a defence before thee to-day,
","I was happy to think of the defense before you, king Agrippa, for all things I have been accused of Jews.","I think myself happy, O king Agrippa, that I am to answer for myself this day before thee, touching all the things whereof I am accused by the Jews.
"
28,"especially knowing thee to be acquainted with all things -- both customs and questions -- among Jews; wherefore, I beseech thee, patiently to hear me.
","I beg you, patiently, to hear me, both Jews and Jews, to know everything -- both customs and questions -- among Jews.","Especially as thou knowest all, both customs and questions that are among the Jews: Wherefore I beseech thee to hear me patiently.
"
29,"`The manner of my life then, indeed, from youth -- which from the beginning was among my nation, in Jerusalem -- know do all the Jews,
","the way I've lived since my youth, which began in Jerusalem -- all Jews know, the way I've lived, I've been among them.","And my life indeed from my youth, which was from the beginning among my own nation in Jerusalem, all the Jews do know:
"
30,"knowing me before from the first, (if they may be willing to testify,) that after the most exact sect of our worship, I lived a Pharisee;
","I've lived a Pharisee before, if they're willing to testify, that I've lived a Pharisee in our worship;","Having known me from the beginning (if they will give testimony) that according to the most sure sect of our religion I lived a Pharisee.
"
31,"and now for the hope of the promise made to the fathers by God, I have stood judged,
",I stood in judgment for the promise God made to my father.,"And now for the hope of the promise that was made by God to the fathers, do I stand subject to judgment:
"
32,"to which our twelve tribes, intently night and day serving, do hope to come, concerning which hope I am accused, king Agrippa, by the Jews;
","by the Jews, I'm accused of being a Jew, king Agrippa, by the Jews, who are very eager to come to our service.","Unto which, our twelve tribes, serving night and day, hope to come. For which hope, O king, I am accused by the Jews.
"
33,"why is it judged incredible with you, if God doth raise the dead?
","if God's dead, is it amazing to you?","Why should it be thought a thing incredible, that God should raise the dead?
"
34,"`I, indeed, therefore, thought with myself, that against the name of Jesus of Nazareth it behoved  many things to do,
","in fact, I thought it was necessary to do many things against the name of Jesus Christ.","And I indeed did formerly think, that I ought to do many things contrary to the name of Jesus of Nazareth.
"
35,"which also I did in Jerusalem, and many of the saints I in prison did shut up, from the chief priests having received the authority; they also being put to death, I gave my vote against them,
","I have also voted against them in Jerusalem, and many of the saints I've been in prison, they've also been killed.","Which also I did at Jerusalem, and many of the saints did I shut up in prison, having received authority of the chief priests: and when they were put to death, I brought the sentence.
"
36,"and in every synagogue, often punishing them, I was constraining  to speak evil, being also exceedingly mad against them, I was also persecuting  even unto strange cities.
","I was often punished, often punished, and often punished, and I was often angry with them, and I was often angry with them.","And oftentimes punishing them, in every synagogue, I compelled them to blaspheme: and being yet more mad against them, I persecuted them even unto foreign cities.
"
37,"`In which things, also, going on to Damascus -- with authority and commission from the chief priests --
","in which, the chief priests and the priests of the Holy See are also involved --","Whereupon when I was going to Damascus with authority and permission of the chief priest,
"
38,"at mid-day, I saw in the way, O king, out of heaven, above the brightness of the sun, shining round about me a light -- and those going on with me;
","I saw a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light, a light,","At midday, O king, I saw in the way a light from heaven above the brightness of the sun, shining round about me, and them that were in company with me.
"
39,"and we all having fallen to the earth, I heard a voice speaking unto me, and saying in the Hebrew dialect, Saul, Saul, why me dost thou persecute? hard for thee against pricks to kick!
","I heard a voice, and said in the Hebrew tongue, Saul, Saul, why do you hate me?","And when we were all fallen down on the ground, I heard a voice speaking to me in the Hebrew tongue: Saul, Saul, why persecutest thou me? It is hard for thee to kick against the goad.
"
40,"`And I said, Who art thou, Lord? and he said, I am Jesus whom thou dost persecute;
","and I'm saying, who's the Lord? And he said, I'm Jesus, you're the one who's persecuting me.","And I said: Who art thou, Lord? And the Lord answered: I am Jesus whom thou persecutest.
"
41,"but rise, and stand upon thy feet, for for this I appeared to thee, to appoint thee an officer and a witness both of the things thou didst see, and of the things [in which] I will appear to thee,
","for I have appeared to you, and I have appointed you a witness to what you saw, and I have promised you that I will appear to you.","But rise up, and stand upon thy feet: for to this end have I appeared to thee, that I may make thee a minister, and a witness of those things which thou hast seen, and of those things wherein I will appear to thee,
"
42,"delivering thee from the people, and the nations, to whom now I send thee,
","I'll give you to the people, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations, the nations,","Delivering thee from the people, and from the nations, unto which now I send thee:
"
43,"to open their eyes, to turn  from darkness to light, and  the authority of the Adversary unto God, for their receiving forgiveness of sins, and a lot among those having been sanctified, by faith that  toward me.
","to open the eyes, turn to light, and the power of the enemy to God, for their forgiveness of sins, and a lot among those who have been saved.","To open their eyes, that they may be converted from darkness to light, and from the power of Satan to God, that they may receive forgiveness of sins, and a lot among the saints, by the faith that is in me.
"
44,"`Whereupon, king Agrippa, I was not disobedient to the heavenly vision,
","I did not disobey the heavenly vision, king Agrippa.","Whereupon, O king Agrippa, I was not incredulous to the heavenly vision:
"
45,"but to those in Damascus first, and to those in Jerusalem, to all the region also of Judea, and to the nations, I was preaching to reform, and to turn back unto God, doing works worthy of reformation;
","I have been preaching reform, and turning to God, doing works worthy of reform, and I have been preaching to the whole region, and to the nations, and to the whole world, I have been preaching to reform, and to turn to God.","But to them first that are at Damascus, and at Jerusalem, and unto all the country of Judea, and to the Gentiles did I preach, that they should do penance, and turn to God, doing works worthy of penance.
"
46,"because of these things the Jews -- having caught me in the temple -- were endeavouring to kill .
",the Jews -- who caught me in the temple -- tried to kill me.,"For this cause the Jews, when I was in the temple, having apprehended me, went about to kill me.
"
47,"`Having obtained, therefore, help from God, till this day, I have stood witnessing both to small and to great, saying nothing besides the things that both the prophets and Moses spake of as about to come,
","I have witnessed the small and the great, as they were prophesied and Moses spoke of them, nothing but the things that both the prophets and the priests said were about to happen, and I have not spoken a word of it.","But being aided by the help of God, I stand unto this day, witnessing both to small and great, saying no other thing than those which the prophets, and Moses did say should come to pass:
"
48,"that the Christ is to suffer, whether first by a rising from the dead, he is about to proclaim light to the people and to the nations.'
","""the Christ will suffer, whether he is alive or dead, he will be the light of the world.""","That Christ should suffer, and that he should be the first that should rise from the dead, and should shew light to the people, and to the Gentiles.
"
49,"And, he thus making a defence, Festus with a loud voice said, `Thou art mad, Paul; much learning doth turn thee mad;'
","""you're crazy, Paul,"" said Festus loudly, ""you know, much learning is going to make you crazy;""","As he spoke these things, and made his answer, Festus said with a loud voice: Paul, thou art beside thyself: much learning doth make thee mad.
"
50,"and he saith, `I am not mad, most noble Festus, but of truth and soberness the sayings I speak forth;
","""I'm not crazy, but I'm really sober and honest, Festus,"" he said.","And Paul said: I am not mad, most excellent Festus, but I speak words of truth and soberness.
"
51,"for the king doth know concerning these things, before whom also I speak boldly, for none of these things, I am persuaded, are hidden from him; for this thing hath not been done in a corner;
","I'm sure he knows about these things before he speaks, for none of them, I'm sure, is hidden from him; for this thing has not been done in a corner.","For the king knoweth of these things, to whom also I speak with confidence. For I am persuaded that none of these things are hidden from him. For neither was any of these things done in a corner.
"
52,"thou dost believe, king Agrippa, the prophets? I have known that thou dost believe!'
","I know you're thinking, Agrippa, the prophet? I've known you're thinking!'","Believest thou the prophets, O king Agrippa? I know that thou believest.
"
53,"And Agrippa said unto Paul, `In a little thou dost persuade me to become a Christian!'
","""you're gonna convince me to be a Christian in a minute!"" Said Agrippa.","And Agrippa said to Paul: In a little thou persuadest me to become a Christian.
"
54,"and Paul said, `I would have wished to God, both in a little, and in much, not only thee, but also all those hearing me to-day, to become such as I also am -- except these bonds.'
","""I'd like to say, both in a little, and in a big way, not only you, but everyone who hears me today, to be like me - except for those bonds.""","And Paul said: I would to God, that both in a little and in much, not only thou, but also all that hear me, this day, should become such as I also am, except these bands.
"
55,"And, he having spoken these things, the king rose up, and the governor, Bernice also, and those sitting with them,
","the king rose and the governor, Bernice, and the others who were sitting with them.","And the king rose up, and the governor, and Bernice, and they that sat with them.
"
56,"and having withdrawn, they were speaking unto one another, saying -- `This man doth nothing worthy of death or of bonds;'
","""this man doesn't deserve death or bonds; he's just saying something worth dying for.""","And when they were gone aside, they spoke among themselves, saying: This man hath done nothing worthy of death or of bands.
"
57,"and Agrippa said to Festus, `This man might have been released if he had not appealed to Caesar.'","""if he hadn't appealed to Caesar, he might have been released,"" Agrippa said.","And Agrippa said to Festus: This man might have been set at liberty, if he had not appealed to Caesar."
58,"Paul, an apostle of Jesus Christ through the will of God, and Timotheus the brother,
","the Lord Jesus Christ, the Holy Spirit, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord, the soul of the Lord","Paul, an apostle of Jesus Christ, by the will of God, and Timothy, a brother,
"
59,"to the saints in Colossae, and to the faithful brethren in Christ: Grace to you, and peace from God our Father, and the Lord Jesus Christ!
","God bless you, and peace be with you, my dear brothers and sisters in Christ!","To the saints and faithful brethren in Christ Jesus, who are at Colossa.
"
60,"We give thanks to the God and Father of our Lord Jesus Christ, always praying for you,
","thank God and the Lord of our Lord Jesus Christ, we thank you.","Grace be to you and peace from God our Father, and from the Lord Jesus Christ. We give thanks to God, and the Father of our Lord Jesus Christ, praying always for you.
"
61,"having heard of your faith in Christ Jesus, and of the love that  to all the saints,
",I have heard of your faith in Jesus Christ and the love you have for all saints.,"Hearing your faith in Christ Jesus, and the love which you have towards all the saints.
"
62,"because of the hope that is laid up for you in the heavens, which ye heard of before in the word of the truth of the good news,
","for the hope that you will be able to hear the truth of the good news, which you have heard before in the words of truth.","For the hope that is laid up for you in heaven, which you have heard in the word of the truth of the gospel,
"
63,"which is present to you, as also in all the world, and is bearing fruit, as also in you, from the day in which ye heard, and knew the grace of God in truth;
","and from the day you heard, and saw the grace of God, you have seen the fruit of it, as well as in you, from the day you heard, and knew the truth.","Which is come unto you, as also it is in the whole world, and bringeth forth fruit and groweth, even as it doth in you, since the day you heard and knew the grace of God in truth.
"
64,"as ye also learned from Epaphras, our beloved fellow-servant, who is for you a faithful ministrant of the Christ,
","you know, Epaphras, our beloved friend, who is a faithful minister of the Lord, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know,","As you learned of Epaphras, our most beloved fellow servant, who is for you a faithful minister of Christ Jesus;
"
65,"who also did declare to us your love in the Spirit.
",he also said he loved us in the spirit.,"Who also hath manifested to us your love in the spirit.
"
66,"Because of this, we also, from the day in which we heard, do not cease praying for you, and asking that ye may be filled with the full knowledge of His will in all wisdom and spiritual understanding,
","we have not ceased to pray for you, and we ask that you will be fully aware of His will, and that you will be able to understand it with all wisdom and spiritual understanding.","Therefore we also, from the day that we heard it, cease not to pray for you, and to beg that you may be filled with the knowledge of his will, in all wisdom, and spiritual understanding:
"
67,"to your walking worthily of the Lord to all pleasing, in every good work being fruitful, and increasing to the knowledge of God,
","in every good work, and every increase in knowledge of God, you will be worthy of the Lord's worthily.","That you may walk worthy of God, in all things pleasing; being fruitful in every good work, and increasing in the knowledge of God:
"
68,"in all might being made mighty according to the power of His glory, to all endurance and long-suffering with joy.
",the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory of the glory,"Strengthened with all might, according to the power of his glory, in all patience and longsuffering with joy,
"
69,"Giving thanks to the Father who did make us meet for the participation of the inheritance of the saints in the light,
",thanks to the father who gave us the opportunity to meet the inheritance of the saints in the light.,"Giving thanks to God the Father, who hath made us worthy to be partakers of the lot of the saints in light:
"
70,"who did rescue us out of the authority of the darkness, and did translate  into the reign of the Son of His love,
","we were rescued from the darkness, and we have been translated into the love of the Son of God.","Who hath delivered us from the power of darkness, and hath translated us into the kingdom of the Son of his love,
"
71,"in whom we have the redemption through his blood, the forgiveness of the sins,
","the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of sins, the forgiveness of","In whom we have redemption through his blood, the remission of sins;
"
72,"who is the image of the invisible God, first-born of all creation,
","the invisible God, the first born of all creation, the first born of God.","Who is the image of the invisible God, the firstborn of every creature:
"
73,"because in him were the all things created, those in the heavens, and those upon the earth, those visible, and those invisible, whether thrones, whether lordships, whether principalities, whether authorities; all things through him, and for him, have been created,
","everything in him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for him, and for","For in him were all things created in heaven and on earth, visible and invisible, whether thrones, or dominations, or principalities, or powers: all things were created by him and in him.
"
74,"and himself is before all, and the all things in him have consisted.
","he's all in himself, and everything in him is in the way.","And he is before all, and by him all things consist.
"
75,"And himself is the head of the body -- the assembly -- who is a beginning, a first-born out of the dead, that he might become in all  -- himself -- first,
","he's the head of the body -- the body -- who's the beginning, the first born of the dead, that he might be able to become -- himself -- first,","And he is the head of the body, the church, who is the beginning, the firstborn from the dead; that in all things he may hold the primacy:
"
76,"because in him it did please all the fulness to tabernacle,
","he was pleased with the whole of the fulness of the tabernacle, and he was pleased with the whole of the tabernacle.","Because in him, it hath well pleased the Father, that all fullness should dwell;
"
77,"and through him to reconcile the all things to himself -- having made peace through the blood of his cross -- through him, whether the things upon the earth, whether the things in the heavens.
","he made peace with his blood, whether on the ground, whether in the sky, whether in the sky.","And through him to reconcile all things unto himself, making peace through the blood of his cross, both as to the things that are on earth, and the things that are in heaven.
"
78,"And you -- once being alienated, and enemies in the mind, in the evil works, yet now did he reconcile,
","once he was separated from the good, and enemies in his mind, but now he's reconciled,","And you, whereas you were some time alienated and enemies in mind in evil works:
"
79,"in the body of his flesh through the death, to present you holy, and unblemished, and unblameable before himself,
","to be holy, and unblemished, and unblameable before his body, and he will be holy and unblemished.","Yet now he hath reconciled in the body of his flesh through death, to present you holy and unspotted, and blameless before him:
"
80,"if also ye remain in the faith, being founded and settled, and not moved away from the hope of the good news, which ye heard, which was preached in all the creation that  under the heaven, of which I became -- I Paul -- a ministrant.
","I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul, I Paul","If so ye continue in the faith, grounded and settled, and immoveable from the hope of the gospel which you have heard, which is preached in all the creation that is under heaven, whereof I Paul am made a minister.
"
81,"I now rejoice in my sufferings for you, and do fill up the things lacking of the tribulations of the Christ in my flesh for his body, which is the assembly,
","I'm glad you're happy with my suffering, and I'm happy to fill the things I don't have to suffer for you, my body, which is the body of Christ.","Who now rejoice in my sufferings for you, and fill up those things that are wanting of the sufferings of Christ, in my flesh, for his body, which is the church:
"
82,"of which I -- I did become a ministrant according to the dispensation of God, that was given to me for you, to fulfil the word of God,
","I've become a ministrant in God's name, that's what God gave me, so I can fulfill the word of God.","Whereof I am made a minister according to the dispensation of God, which is given me towards you, that I may fulfill the word of God:
"
83,"the secret that hath been hid from the ages and from the generations, but now was manifested to his saints,
","the secret that has been hidden for ages and generations, but now he's revealed to the saints.","The mystery which hath been hidden from ages and generations, but now is manifested to his saints,
"
84,"to whom God did will to make known what  the riches of the glory of this secret among the nations -- which is Christ in you, the hope of the glory,
","the glory of the secret among the nations, which is Christ in you, the hope of the glory,","To whom God would make known the riches of the glory of this mystery among the Gentiles, which is Christ, in you the hope of glory.
"
85,"whom we proclaim, warning every man, and teaching every man, in all wisdom, that we may present every man perfect in Christ Jesus,
","we will teach every man, and every man, in all wisdom, that we can present them to the perfect man Jesus.","Whom we preach, admonishing every man, and teaching every man in all wisdom, that we may present every man perfect in Christ Jesus.
"
86,"for which also I labour, striving according to his working that is working in me in power.","I work, I try to do what I'm working for, and I'm working hard to do it.","Wherein also I labour, striving according to his working which he worketh in me in power."
87,"And Job answereth and saith: --
","he says: -- He's a job, and he's a job, and he's a job.","But Job answered, and said:
"
88,"O that my provocation were thoroughly weighed, And my calamity in balances They would lift up together!
","they would lift my anger, and my disaster in balance.","O that my sins, whereby I have deserved wrath, and the calamity that I suffer, were weighed in a balance.
"
89,"For now, than the sands of the sea it is heavier, Therefore my words have been rash.
","then I was rash, because the sea is heavier than the sea.","As the sand of the sea this would appear heavier: therefore my words are full of sorrow:
"
90,"For arrows of the Mighty  with me, Whose poison is drinking up my spirit. Terrors of God array themselves  me!
","the Mighty, who drink my soul, are my enemies!","For the arrows of the Lord are in me, the rage whereof drinketh up my spirit, and the terrors of the Lord war against me.
"
91,"Brayeth a wild ass over tender grass? Loweth an ox over his provender?
",a wild ass in the grass? Loweth an ox in the grass?,"Will the wild ass bray when he hath grass? or will the ox low when he standeth before a full manger?
"
92,"Eaten is an insipid thing without salt? Is there sense in the drivel of dreams?
",isn't it a little silly thing to dream?,"Or can an unsavoury thing be eaten, that is not seasoned with salt? or can a man taste that which when tasted bringeth death?
"
93,"My soul is refusing to touch! They  as my sickening food.
",I refuse to touch my soul! They're sickening me!,"The things which before my soul would not touch, now, through anguish are my meats.
"
94,"O that my request may come, That God may grant my hope!
","I'm asking God to grant my hope, so that God may be happy!","Who will grant that my request may come: and that God may give me what I look for?
"
95,"That God would please -- and bruise me, Loose His hand and cut me off!
","God will be pleased - and I'll be bruised, Loose his hand and cut me off!","And that he that hath begun may destroy me, that he may let loose his hand, and cut me off?
"
96,"And yet it is my comfort, (And I exult in pain -- He doth not spare,) That I have not hidden The sayings of the Holy One.
",yet I'm comforted by the fact that I didn't hide the Holy One's words.,"And that this may be my comfort, that afflicting me with sorrow, he spare not, nor I contradict the words of the Holy One.
"
97,"What  my power that I should hope? And what mine end That I should prolong my life?
",what power do I have to hope for? And what will I prolong my life?,"For what is my strength, that I can hold out? or what is my end that I should keep patience?
"
98,"Is my strength the strength of stones? Is my flesh brazen?
",is my strength the strength of the stone?,"My strength is not the strength of stones, nor is my flesh of brass.
"
99,"Is not my help with me, And substance driven from me?
","I don't want my help, but my substance?","Behold there is no help for me in myself, and my familiar friends also are departed from me.
"
