,original,paraphrase,output,output_reference
24,"And of the festivity that was at their wedding,
","of the wedding festivities that took place at the wedding,"," Of the wedding festivities that took place at the wedding,","And of the feste that was at hir weddynge,
"
25,"And of the storm at her home-coming;
",the storm at the arrival of the bride;, The storm at the arrival of the bride;,"And of the tempest at hir hoom-comynge;
"
26,"But all that matter I must now forgo.
","I'm going to have to go now, for all that matters."," I have to go now, for all that matters.","But al that thyng I moot as now forbere.
"
27,"I have, God knows, a large field to till,
","I'm sure there's a lot of work to do, God knows, a lot of work to do."," I know there's a lot of work to do, God knows, a lot of work to do.","I have, God woot, a large feeld to ere,
"
28,"And the oxen in my plow are weak.
",the oxen in the plows are weak., The oxen in plows are weak.,"And wayke been the oxen in my plough.
"
29,"The remnant of the tale is long enough.
","the story is long enough, but the story is long enough."," The story is long enough, but the story is long enough.","The remenant of the tale is long ynough.
"
30,"Also I will not hinder any one of this company;
",I'm not gonna stop anyone from this company;, I am not to stop anyone from this company;,"I wol nat letten eek noon of this route;
"
31,"Let every fellow tell his tale in turn,
","every man tell the story in turn, and everyone will be happy."," Every man tell the tale in turn, and every man be merry.","Lat every felawe telle his tale aboute,
"
32,"And let's see now who shall win the supper;
",let's see who's going to win the dinner now., Let's see who's winning the dinner now.,"And lat se now who shal the soper wynne;
"
33,"And where I left off, I will again begin.
",I'll go again when I'm done with it., I will go again when I am done with it.,"And ther I lefte, I wol ayeyn bigynne.
"
34,"This duke, of whom I make mention,
",the Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the..., The Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the Duke of the...,"This duc, of whom I make mencioun,
"
35,"When he was come almost unto the town,
","he was almost in the city, and he was almost in the city."," He was almost in the city, and he was almost in the city.","Whan he was come almoost unto the toun,
"
36,"In all his prosperity and in his most pride,
","in all his prosperity and pride, he was happy to be happy."," In all his prosperity and glory, he was happy to be happy.","In al his wele and in his mooste pride,
"
37,"He was aware, as he cast his eye aside,
","he knew he was looking at him, and he looked away. He knew he was looking at him, and he looked..."," He knew he was looking at him, and he looked away.","He was war, as he caste his eye aside,
"
38,"Where there kneeled in the high way
","on the high ground, they knelt in the high place."," And knelt high up in the high places,","Where that ther kneled in the heighe weye
"
39,"A company of ladies, two by two,
","two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two..."," Two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies, two ladies,","A compaignye of ladyes, tweye and tweye,
"
40,"Each after another, clad in black clothes;
","after the other, dressed in black clothes;"," After the other, dressed in black clothes;","Ech after oother clad in clothes blake;
"
41,"But such a cry and such a woeful (lament) they make
",such a cry and such a terrible (painful) thing to do., Such a cry and such a terrible (painful) thing to do.,"But swich a cry and swich a wo they make
"
42,"That in this world is no living creature
",there's no living creature in this world., There is no living creature in this world.,"That in this world nys creature lyvynge
"
43,"That (ever) heard lamentation such as this;
",(a) a lamentation such as this;, (b) a lamentation such as this;,"That herde swich another waymentynge;
"
44,"And of this cry they would not ever stop
",they would never stop the cry of this cry., They would never stop the cry of this cry.,"And of this cry they nolde nevere stenten
"
45,"Until they seized the reins of his bridle.
","when they took the reins of the saddle, they took off the reins."," And when they took off the reins of the saddle, they took off the reins.","Til they the reynes of his brydel henten.
"
46,"""What folk are you, who at my homecoming
","what people are you, who came to my house for the party?"," What people are ye, who came to my house for the party?","""What folk been ye, that at myn hom-comynge
"
47,"So disturb my festival with crying?""
","""what about the festival of crying?"""," "" What about the festival of crying?","Perturben so my feste with criynge?""
"
48,"Said Theseus. ""Have you such great envy
","""you're really envying me, aren't you?"" Said Theus."," "" You really envied me, aren't you? ""","Quod Theseus. ""Have ye so greet envye
"
49,"Of my honor, (you) who thus lament and cry?
","(you) who are so ashamed of your honor, (you) who are so ashamed of your honor?"," (You) Who are so ashamed of your honor, (you) who are so ashamed of your honor?","Of myn honour, that thus compleyne and crye?
"
50,"Or who has injured or offended you?
",who's hurt or offended you?, Who hurt or offended you?,"Or who hath yow mysboden or offended?
"
51,"And tell me if it may be remedied,
","if it's possible, tell me if it's possible to fix it."," If it be possible, tell me if it be possible to fix it.","And telleth me if it may been amended,
"
52,"And why you are clothed thus in black.""
",why you're dressed in black? 'Cause it's a black dress. 'Cause it's black. 'Cause it's black...., Why you're dressed in black? 'Cause it's a black dress.,"And why that ye been clothed thus in blak.""
"
53,"The eldest lady of them all spoke,
","the eldest lady spoke, the eldest lady spoke, the eldest lady spoke."," The eldest lady spoke, the eldest lady spoke,","The eldeste lady of them alle spak,
"
54,"After she had swooned with (so) deadly a countenance,
","she was trembling with fear, and she trembled with fear."," And trembling with fear, she trembled with the fear of the LORD.","Whan she hadde swowned with a deedly cheere,
"
55,"That it was pitiful to see and hear;
",it's pathetic to see and hear;, It is pathetic to see and hear;,"That it was routhe for to seen and heere;
"
56,"She said, ""Lord, to whom Fortune has given
","""oh, my God, for whom Fortune has given me,"" said the priest."," Ah, my God, for whom Fortune has given me,","She seyde, ""Lord, to whom Fortune hath yiven
"
57,"Victory, and (allowed) to live as a conqueror,
","victory, and (to live as a conqueror)"," victory, and (to live as a conqueror)","Victorie, and as a conqueror to lyven,
"
58,"Your glory and your honor does not grieve us,
",we don't grieve your glory and your honor., We grieve not your glory and your honor.,"Nat greveth us youre glorie and youre honour,
"
59,"But we beseech (you for) mercy and succor.
",we beg you to forgive us and help us., We beseech you to forgive us and help us.,"But we biseken mercy and socour.
"
60,"Have mercy on our woe and our distress!
","for our suffering and our distress, we are grateful for mercy and compassion!"," For our suffering and our distress, we thank thee,","Have mercy on oure wo and oure distresse!
"
61,"Some drop of pity, because of thy nobility,
","because of your nobility, I'm sorry."," Because of your nobleness, I'm sorry.","Som drope of pitee, thurgh thy gentillesse,
"
62,"Let thou fall upon us wretched women,
","you're going to fall on us, poor women, poor women, poor women."," You're going to fall on us, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women, poor women,","Upon us wrecched wommen lat thou falle,
"
63,"For, certainly, lord, there is not one of us all
","of us, of course, not even one of us, but one of us."," Of us, of course, not even one of us, but one of us.","For, certes, lord, ther is noon of us alle
"
64,"Who has not been a duchesse or a queen.
",he wasn't a duchesse or a queen., He was not duchesse or a queen.,"That she ne hath been a duchesse or a queene.
"
65,"Now we are miserable wretches, as it is easily seen,
","we're miserable, as it's clear, we're miserable."," We are miserable, as it is clear, we are miserable.","Now be we caytyves, as it is wel seene,
"
66,"Thanks be to Fortune and her false wheel,
","to the fortune of Fortune and the false wheel,"," To the fortune of Fortune and false wheel,","Thanked be Fortune and hire false wheel,
"
67,"Who assures no estate (will continue) to be well.
",he assures you that he won't be able to afford any of the estate (he will continue)., He promises you that he will not be able to afford any of the estate (he will continue).,"That noon estaat assureth to be weel.
"
68,"And certainly, lord, to await your presence,
","of course, I'm sure you'll be waiting for your arrival, sir."," Of course, I am sure you will be in the city, sir.","And certes, lord, to abyden youre presence,
"
69,"Here in this temple of the goddess Clemency
","in the temple of the goddess Clemency, in the temple of the goddess Clemency."," In the temple of the goddess Clemency, in the temple of the goddess Clemency.","Heere in this temple of the goddesse Clemence
"
70,"We have been waiting all this fortnight.
",we've been waiting all week for this., We waited all week for this.,"We han ben waitynge al this fourtenyght.
"
71,"Now help us, lord, since it is in thy power.
","since it's your power, we'll help you."," We will help you, since it is your power.","Now help us, lord, sith it is in thy myght.
"
72,"""I, wretch, who weep and wail thus,
","I, the wretched, who weep and weep, I, the wretched, who weep and weep."," I, the wretched, who weep and weep, and weep, and weep, and weep,","""I, wrecche, which that wepe and wayle thus,
"
73,"Was once wife to king Cappaneus,
","once a woman of the king of Cappaneus,"," Once a woman of the king of Cappaneus,","Was whilom wyf to kyng Cappaneus,
"
74,"Who died at Thebes -- cursed be that day! --
",he died in Thebes -- he was cursed! --, He died in Thebes-- cursed!--,"That starf at Thebes -- cursed be that day! --
"
75,"And all of us who are in this condition
","everyone who's in this condition, everyone who's in this condition, everyone who's in this..."," Everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition, everybody that is in this condition,","And alle we that been in this array
"
76,"And make all this lamentation,
","all this lamentation, all this lamentation, all this lamentation, all this lamentation, all this..."," All this lamentation, all this lamentation, all this lamentation, all this lamentation, all this...","And maken al this lamentacioun,
"
77,"We lost all our husbands at that town,
",we've lost all our husbands in the city., We lost all our husbands in the city.,"We losten alle oure housbondes at that toun,
"
78,"While the siege lay around it.
","the siege was around him, and he was surrounded by the walls."," The siege was round him, and he was surrounded by the walls of the castle.","Whil that the seege theraboute lay.
"
79,"And yet now the old Creon -- woe oh woe! --
",but now the old Creon -- woe! --, But now the old Creon--woe!,"And yet now the olde Creon -- weylaway! --
"
80,"Who is now lord of the city of Thebes,
",the city of Thebes is now the ruler of the city., The city of Thebes now reigneth Thebes.,"That lord is now of Thebes the citee,
"
81,"Filled with anger and with iniquity,
","with anger and indignation, with indignation, with indignation, with indignation, with indignation,..."," With anger and indignation, with indignation, with indignation, with indignation, with indignation, with ","Fulfild of ire and of iniquitee,
"
82,"He, for spite and for his tyranny,
","for his tyranny and his tyranny, for his tyranny and his tyranny."," For his tyranny and his tyranny, for his tyranny and his tyranny.","He, for despit and for his tirannye,
"
83,"To do dishonor to the dead bodies
",to dishonor the dead body of the dead., To dishonor the dead body of the dead.,"To do the dede bodyes vileynye
"
84,"Of all our lords who are slain,
","all our lords who have died, all our lords who died."," All our lords that have died, all our lords that have died.","Of alle oure lordes whiche that been yslawe,
"
85,"Has dragged all the bodies in a heap,
","he dragged all the bodies into the pile, and then he dragged them away."," And he dragged all the bodies into the pile, and he dragged them away.","Hath alle the bodyes on an heep ydrawe,
"
86,"And will not allow them, not at all,
","they don't want to, not even at all, they don't want to, they don't want to, they don't want to,..."," They don't want to, not even at all, they don't want to, they don't want to, they don't want to, they don't want to, they don't want to, they don't want to, they don't","And wol nat suffren hem, by noon assent,
"
87,"Neither to be buried nor burned,
","to be buried or burned, not to burn."," To be buried or burned, not to be burned.","Neither to been yburyed nor ybrent,
"
88,"But makes hounds eat them as an insult.""
","it's an insult to the hounds. """, It is an insult to the hounds.,"But maketh houndes ete them in despit.""
"
89,"And with that word, without more delay,
","without delay, without delay, without delay, without delay, without delay, without delay, without..."," Without delay, without delay, without delay, without delay, without delay,","And with that word, withouten moore respit,
"
90,"They fell face down and cried piteously,
","they fell to the ground and cried, ""Oh, my God!"" They cried, and they fell to the ground and cried,..."," They fell to the ground and cried, "" Oh, my God!","They fillen gruf and criden pitously,
"
91,"""Have some mercy on us wretched women,
","for we are poor women, we have no choice."," For we are poor women, we have no choice.","""Have on us wrecched wommen som mercy,
"
92,"And let our sorrow sink in thy heart.""
","""let your heart sink in your heart."" Let your heart sink in your heart."," "" Let thy heart sink in thy heart.","And lat oure sorwe synken in thyn herte.""
"
93,"This gentle duke leaped down from his war horse
",the duke leapt from his horse and leapt to the ground., And the duke leapt from his horse and leapt to the ground.,"This gentil duc doun from his courser sterte
"
94,"With compassionate heart, when he heard them speak.
","when they spoke, he felt compassion for them."," When they spoke, felt compassion for them.","With herte pitous, whan he herde them speke.
"
95,"It seemed to him that his heart would break,
",he thought he would break his heart. He was thinking of breaking his heart. He thought he might..., He thought he might break his heart.,"Hym thoughte that his herte wolde breke,
"
96,"When he saw them so pitiful and so dejected,
",he was so disgusted with them that he was disgusted with himself., He was so disgusted with them that he was so disgusted with himself.,"Whan he saugh hem so pitous and so maat,
"
97,"That once were of such high rank;
","once upon a time, they were among the highest of the highest;", They were among the highest of the highest;,"That whilom weren of so greet estaat;
"
98,"And in his arms he caught up them all,
","he caught them all in his arms, and he held them up."," And he caught them all in his arms, and held them up.","And in his armes he hem alle up hente,
"
99,"And comforts them with very good will,
",they will be comforted by the good will of the Lord., They shall be comforted by the good will of the LORD.,"And hem conforteth in ful good entente,
"
100,"And swore his oath, as he was true knight,
","as he was a knight, he swore his oath."," As he was a knight, swore his oath.","And swoor his ooth, as he was trewe knyght,
"
101,"(That) he would do his might so completely
",he's going to do it so completely that he's completely destroyed., HeâĢĻs going to do so so completely that heâĢĻs utterly destroyed.,"He wolde doon so ferforthly his myght
"
102,"To avenge them upon the tyrant Creon
",to revenge the tyrant Creon for his tyranny., To revenge the tyrant Creon for his tyranny.,"Upon the tiraunt Creon hem to wreke
"
103,"That all the people of Greece should speak (about)
",everyone in Greece should be speaking about it (about), Everybody in Greece should be speaking about it (about),"That al the peple of Grece sholde speke
"
104,"How Creon was treated by Theseus
",theseus treated Creon with theseus., Theseus treated Creon with theseus.,"How Creon was of Theseus yserved
"
105,"As one who had very well deserved his death.
","he deserved his death, but he deserved it. He deserved it. He deserved it. He deserved it. He..."," And he deserved it, but he deserved it.","As he that hadde his deeth ful wel deserved.
"
106,"And right away, without more delay,
","without delay, without delay, without delay, without delay, without delay, without delay, without..."," Without delay, without delay, without delay, without delay, without delay, without...","And right anoon, withouten moore abood,
"
107,"He displays his banner, and rode forth
","he's got a banner, and he rode away."," And he was a banner, and rode away.","His baner he desplayeth, and forth rood
"
108,"Toward Thebes, and all his army beside (him).
","to thebes, and all the army of the surrounding (his troops)."," To thebes, and all the army of the surrounding (his troops).","To Thebes-ward, and al his hoost biside.
"
109,"He would not walk nor ride any nearer to Athens,
","he won't be able to go to Athens, he won't be able to go to Athens."," He won't be able to go to Athens, he won't be able to go to Athens.","No neer Atthenes wolde he go ne ride,
"
110,"Nor take his ease fully half a day,
","take it easy for half a day, but don't let it go."," Take it easy for half a day, but let it go","Ne take his ese fully half a day,
"
111,"But that night he lay (camped) on his way,
","he lay down on his way, and he lay down on his way."," And he lay down on his way, and lay down on his way.","But onward on his wey that nyght he lay,
"
112,"And sent straightway Ypolita the queen,
","she was sent straight to the Queen of the Queen, Ypolita.", She was sent straight to the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of,"And sente anon Ypolita the queene,
"
113,"And Emelye, her beautiful young sister,
","Emelye, the beautiful young sister of the Emelye family."," Emelye, the beautiful young sister of the Emelye family.","And Emelye, hir yonge suster sheene,
"
114,"Unto the town of Athens to dwell,
","to live in Athens, Athens to live, Athens to live, Athens to live, Athens to live, Athens to live,..."," To live in Athens, Athens to live, Athens to live, Athens to live, Athens to live, Athens to live,","Unto the toun of Atthenes to dwelle,
"
115,"And forth he rides; there is no more to tell.
",he's going to go; there's nothing more to say., He is going; there is nothing more to say.,"And forth he rit; ther is namoore to telle.
"
116,"The red statue of Mars, with spear and shield,
","the red statue of Mars, with spear and shield."," The red statue of Mars, with spear and shield.","The rede statue of Mars, with spere and targe,
"
117,"So shines in his large white banner
",the large white banner shines in the sky., The large white banner shines in the sky.,"So shyneth in his white baner large
"
118,"That all the fields glitter all around;
",all the fields are glittering; all the fields are shining; all the fields are shining; all the..., All the fields glittering; all the fields shining; all the...,"That alle the feeldes glyteren up and doun;
"
119,"And by his banner is carried his pennon
",the banner is carried by the pennon of the flag., The banner is carried by the pennon of the flag.,"And by his baner born is his penoun
"
120,"Of very rich gold, in which there was embroidered
","a rich gold, with a lot of embroidery, in which there was a lot of embroidery."," A rich gold, with a lot of embroidery, in which there was a lot of embroidery,","Of gold ful riche, in which ther was ybete
"
121,"The Minotaur, which he defeated in Crete.
","the Minotaur, which he defeated in Crete."," And the Minotaur, which he had defeated in Crete,","The Mynotaur, which that he wan in Crete.
"
122,"Thus rides this duke, thus rides this conqueror,
","so the duke rides the conqueror, so the conqueror rides the duke."," So the duke rides the conqueror, so the conqueror rides the duke.","Thus rit this duc, thus rit this conquerour,
"
123,"And in his army the flower of chivalry,
",the flower of the chivalry of the army., The flower of the chivalry of the army,"And in his hoost of chivalrie the flour,
"
124,"Until he came to Thebes and dismounted
","when he came to the city of Thebes, he dismounted."," When he came to the city of Thebes, he dismounted.","Til that he cam to Thebes and alighte
"
125,"Graciously in a field, where he intended to fight.
",in a field where he was supposed to be fighting., In a field where he was supposed to be fighting.,"Faire in a feeld, ther as he thoughte to fighte.
"
126,"But briefly to speak of this thing,
","to talk about it briefly, I'll tell you what I think."," To talk about it briefly, I'll tell you what I think.","But shortly for to speken of this thyng,
"
127,"With Creon, who was king of Thebes,
","the king of Creon, who was the king of the Egyptians."," The king of Creon, who was the king of the Egyptians.","With Creon, which that was of Thebes kyng,
"
128,"He fought, and slew him boldly as a knight
","he fought, and he killed him with a sword."," He fought, and he killed him with a sword.","He faught, and slough hym manly as a knyght
"
129,"In open battle, and put the army to flight;
","in open battle, the army will be on the ground;"," In open battle, the army will be on the ground;","In pleyn bataille, and putte the folk to flyght;
"
130,"And by assault he won the city afterwards,
","he was attacked by the city's attackers, and he won the city."," He was attacked by the city's attackers, and won the city.","And by assaut he wan the citee after,
"
131,"And tore down both wall and beam and rafter;
",they tore down the walls and beams and rafters;, They tore down the walls and beams and rafters;,"And rente adoun bothe wall and sparre and rafter;
"
132,"And he gave back to the ladies
",he gave the ladies a gift of a woman's hand., And he gave the ladies a gift of a woman's hand.,"And to the ladyes he restored agayn
"
133,"The bones of their husbands who were slain,
",the bones of the men who killed their husbands., The bones of the men who killed their husbands.,"The bones of hir freendes that were slayn,
"
134,"To do obsequies, as was then the custom.
","as was the custom then, they were obeyed by the obsequies."," As was the custom, they were obeyed by the obsequies.","To doon obsequies, as was tho the gyse.
"
135,"But it would be all too long to describe
",it's too long to describe it in detail., It's too long to describe it in detail.,"But it were al to longe for to devyse
"
136,"The great clamor and the lamentation
","the great noise and the outcry of the crowd, the crowd's cries, the crowd's cries, the crowd's..."," The great noise and the outcry of the crowd, the crowd's cries, the crowd's cries, the crowd's...","The grete clamour and the waymentynge
"
137,"That the ladies made at the burning
",the ladies who were burned by the fire., The ladies that were burned by the fire.,"That the ladyes made at the brennynge
"
138,"Of the bodies, and the great honor
","the body, the great honor, the great honor, the great honor, the great honor, the great honor, the..."," The body, the great honor, the great honor, the great honor, the great honor, the great honor, the...","Of the bodies, and the grete honour
"
139,"That Theseus, the noble conqueror,
","theseus, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble..."," Theseus, the noble warrior, the noble warrior, the noble warrior, the noble ","That Theseus, the noble conquerour,
"
140,"Does to the ladies, when they went from him;
",when the ladies came to him;, And when the ladies came to him;,"Dooth to the ladyes, whan they from hym wente;
"
141,"But briefly to tell is my intent.
",I'm just telling you my intention., I have just told you my intention.,"But shortly for to telle is myn entente.
"
142,"When this worthy duke, this Theseus,
","this worthy duke, this worthy duke, this worthy duke, this worthy duke, this worthy duke, this..."," This worthy duke, this worthy duke, this worthy duke, this worthy duke, this...","Whan that this worthy duc, this Theseus,
"
143,"Has slain Creon and thus won Thebes,
",he killed Creon and thus won the kingdom of Creon., He killed Creon and thus won the kingdom of Creon.,"Hath Creon slayn and wonne Thebes thus,
"
144,"Still in that field he took all night his rest,
","he was resting all night in the field, and he was resting all night."," And he lay down all night in the field, and slept all night.","Stille in that feeld he took al nyght his reste,
"
145,"And did with all the country as he pleased.
",he was happy to do it all the country as he pleased., He was happy to do all the country as he pleased.,"And dide with al the contree as hym leste.
"
146,"To search in the heap of dead bodies,
","search in the dead bodies in the graveyard,"," Search in the dead bodies in the graveyard,","To ransake in the taas of bodyes dede,
"
147,"To strip them of armor and of clothing,
",to strip them of their armor and clothing., To strip them of their armor and clothing,"Hem for to strepe of harneys and of wede,
"
148,"The scavengers took great pains and worked hard
",the scavengers worked hard and worked hard., The scavengers worked hard and worked hard,"The pilours diden bisynesse and cure
"
149,"After the battle and defeat.
",the battle and defeat of the battle., The battle and defeat of the battle.,"After the bataille and disconfiture.
"
150,"And (it) so befell that in the heap they found,
","so they found themselves in the heap, so they found themselves in the heap."," So they found themselves in the heap, so they found themselves in the heap.","And so bifel that in the taas they founde,
"
151,"Pierced through with many a grievous bloody wound,
","he was stabbed in the neck with a sharp knife, and stabbed in the chest with a sharp knife."," He was stabbed in the neck with a sharp knife, and stabbed in the chest with a sharp knife.","Thurgh-girt with many a grevous blody wounde,
"
152,"Two young knights lying side by side,
","young knights lying on the ground, young knights lying on the ground."," Young knights lying on the ground, young knights lying on the ground.","Two yonge knyghtes liggynge by and by,
"
153,"Both with the same coat of arms, very richly wrought,
","with a great coat of arms, very richly decorated,"," With a great coat of arms, very richly adorned,","Bothe in oon armes, wroght ful richely,
"
154,"Of which two one was called Arcite,
","the other was called Arctite, and the third was called Arctite."," And the other was called Arctite, and the third was called Arctite.","Of whiche two Arcita highte that oon,
"
155,"And that other knight was called Palamon.
",the other knights were called Palamon., The other knights were called Palamon.,"And that oother knyght highte Palamon.
"
156,"They were not fully alive, nor fully dead,
","they didn't even have a full life, or a full death."," And they did not even have a full life, or a full death.","Nat fully quyke, ne fully dede they were,
"
157,"But by their coats of arms and by their equipment
",by the weapons and equipment they carry in their hands., By the weapons and equipment they carry in their hands.,"But by hir cote-armures and by hir gere
"
158,"The heralds best knew them in particular
",the heralds were the best known of them all., The heralds were the best known of them all.,"The heraudes knewe hem best in special
"
159,"As they that were of the royal blood
",they were the blood of the royal family., They were the blood of the royal family.,"As they that weren of the blood roial
"
160,"Of Thebes, and born of two sisters.
","he was born in Thebes, and his sister's twin."," And he was born in Thebes, and his sister's twin.","Of Thebes, and of sustren two yborn.
"
161,"The scavengers have pulled them out of the heap,
","the scavengers took them out of the pile, and they were taken away."," The scavengers took them out of the pile, and they were taken away.","Out of the taas the pilours han hem torn,
"
162,"And have carried them softy unto the tent
",they were soft and soft to the tent.," Soft and soft they were,","And han hem caried softe unto the tente
"
163,"Of Theseus; and he very soon sent them
","to the Emperor's house, and they were sent to the Emperor's house."," And they were sent to the Emperor's house, and were sent to the Emperor's house.","Of Theseus; and he ful soone hem sente
"
164,"To Athens, to dwell in prison
","to be imprisoned in Athens, to be imprisoned in Athens, to be imprisoned in Athens."," To be imprisoned in Athens, to be imprisoned in Athens, to be imprisoned in Athens, to be imprisoned in Athens, to be imprisoned in Athens.","To Atthenes, to dwellen in prisoun
"
165,"Perpetually -- he would not (accept) any ransom.
",he would not accept any ransom., Would not accept any ransom.,"Perpetuelly -- he nolde no raunsoun.
"
166,"And when this worthy duke has thus done,
","when the worthy duke has done it, he will be worthy of it."," And when the worthy duke has done it, he shall be worthy of it.","And whan this worthy duc hath thus ydon,
"
167,"He took his army, and home he rides straightway
","he took his troops, and he rode straight home."," And he took his troops, and rode straight home.","He took his hoost, and hoom he rit anon
"
168,"As a conqueror crowned with laurel;
",a conqueror crowned with laurel;, A conqueror crowned with laurel;,"With laurer crowned as a conquerour;
"
169,"And there he lives in joy and in honor
",he lives in joy and joy in honor., He lives in joy and joy in honor.,"And ther he lyveth in joye and in honour
"
170,"For the duration of his life; what more words are needed?
",what more words would you say to him for the rest of his life?, What more words would you say to him for the rest of his life?,"Terme of his lyf; what nedeth wordes mo?
"
171,"And in a tower, in anguish and in woe,
","in a tower, in despair and despair, in despair, in despair, in despair, in despair, in despair, in..."," In a tower, in despair and despair, in despair, in despair, in despair, in despair, in despair, in despair, in despair, in despair, in despair, in despair, in ","And in a tour, in angwissh and in wo,
"
172,"This Palamon and his fellow Arcite
",the Palamon and the other Arcite of the Palamon and the other Arcite of the Palamon., And the Palamon and the other Arcite of the Palamon and the other Arcite of the Palamon.,"This Palamon and his felawe Arcite
"
173,"For evermore (remain); no gold can ransom them.
",evermore (remain); no gold will be paid for them., And evermore (remain); no gold shall be paid for them.,"For everemoore; ther may no gold hem quite.
"
174,"This passes year by year and day by day,
","year after year, day after day, day after day, day after day, day after day, day after day, day..."," year after year, day after day, day after day, day after day, day after day, day","This passeth yeer by yeer and day by day,
"
175,"Until it befell once, in a morning of May,
","in the morning of May, it happened to be the same thing.", And in the morning of May it happened to happen,"Till it fil ones, in a morwe of May,
"
