,Original,Paraphrased,Modern
52,"And why that ye been clothed thus in blak.""
","why you're dressed like a brick in the face of the brick. ""","And why you are clothed thus in black.""
"
53,"The eldeste lady of them alle spak,
","the lady of the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the","The eldest lady of them all spoke,
"
54,"Whan she hadde swowned with a deedly cheere,
","she was swooning with a deedly cheere, and she was trembling with fear.","After she had swooned with (so) deadly a countenance,
"
55,"That it was routhe for to seen and heere;
",he was a routhe for the sight and heere;,"That it was pitiful to see and hear;
"
56,"She seyde, ""Lord, to whom Fortune hath yiven
","""oh, my God, for whom Fortune has given me, Lord,"" said Seyda.","She said, ""Lord, to whom Fortune has given
"
57,"Victorie, and as a conqueror to lyven,
","as a conqueror of Lyven, and as a conqueror of Lyven,","Victory, and (allowed) to live as a conqueror,
"
58,"Nat greveth us youre glorie and youre honour,
","you're a glorie and you're honor, you're a glorie, you're honor.","Your glory and your honor does not grieve us,
"
59,"But we biseken mercy and socour.
","we're sorry, but we're sorry, but we're sorry, but we're sorry.","But we beseech (you for) mercy and succor.
"
60,"Have mercy on oure wo and oure distresse!
","for the sake of mercy, oure wo and oure distresse!","Have mercy on our woe and our distress!
"
61,"Som drope of pitee, thurgh thy gentillesse,
","the pitee of pitee, thurgh the gentillesse, thurgh the gentillesse.","Some drop of pity, because of thy nobility,
"
62,"Upon us wrecched wommen lat thou falle,
","we have been robbed of our women's lateness, and we're not even getting a woman.","Let thou fall upon us wretched women,
"
63,"For, certes, lord, ther is noon of us alle
","certes, sir, we're all here, all right, all right, all right, all right, all right, all right, all right, all right,","For, certainly, lord, there is not one of us all
"
64,"That she ne hath been a duchesse or a queene.
",she was a duchess or a queen.,"Who has not been a duchesse or a queen.
"
65,"Now be we caytyves, as it is wel seene,
","be we caytyves, as it's all over, as it's going to be,","Now we are miserable wretches, as it is easily seen,
"
66,"Thanked be Fortune and hire false wheel,
","I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm","Thanks be to Fortune and her false wheel,
"
67,"That noon estaat assureth to be weel.
","it's a day of the day, so we're going to be a little busy.","Who assures no estate (will continue) to be well.
"
68,"And certes, lord, to abyden youre presence,
","certes, sir, to keep your presence, sir.","And certainly, lord, to await your presence,
"
69,"Heere in this temple of the goddesse Clemence
","in this temple of the Holy Clemence, you'll find the Holy Clemence.","Here in this temple of the goddess Clemency
"
70,"We han ben waitynge al this fourtenyght.
",he's got a four-year-old in the four-year-old.,"We have been waiting all this fortnight.
"
71,"Now help us, lord, sith it is in thy myght.
","Sir, it's my pleasure, sir, that you're here.","Now help us, lord, since it is in thy power.
"
72,"""I, wrecche, which that wepe and wayle thus,
","I, the wretch, who's so much like a wretch, and so much like a wretch, and so much like a wretch.","""I, wretch, who weep and wail thus,
"
73,"Was whilom wyf to kyng Cappaneus,
","whilom wyf to kyng Cappaneus,","Was once wife to king Cappaneus,
"
74,"That starf at Thebes -- cursed be that day! --
",the starf of the Thebes -- the day of the curse! --,"Who died at Thebes -- cursed be that day! --
"
75,"And alle we that been in this array
","all of us who were in the array, we were in the same place.","And all of us who are in this condition
"
76,"And maken al this lamentacioun,
","maken al the lamentacioun, maken al the lamentacioun.","And make all this lamentation,
"
77,"We losten alle oure housbondes at that toun,
","we lost the house in the village, the house in the village, the house in the village.","We lost all our husbands at that town,
"
78,"Whil that the seege theraboute lay.
","when the seege theraboute lay, the watchers were waiting for him.","While the siege lay around it.
"
79,"And yet now the olde Creon -- weylaway! --
",but now the old Creon -- weylaway! --,"And yet now the old Creon -- woe oh woe! --
"
80,"That lord is now of Thebes the citee,
",the king of Thebes is now the king of the world.,"Who is now lord of the city of Thebes,
"
81,"Fulfild of ire and of iniquitee,
","furthermore, the fact that the whole of the world is in danger, the world is in danger, the world is in danger, the world is in","Filled with anger and with iniquity,
"
82,"He, for despit and for his tirannye,
","for the destruction of the world, for the destruction of the world, for the destruction of the world.","He, for spite and for his tyranny,
"
83,"To do the dede bodyes vileynye
",the body of the dede is a vileynye.,"To do dishonor to the dead bodies
"
84,"Of alle oure lordes whiche that been yslawe,
","the Lord of the Lordes, the one who is the Lord of the Lord, the one who is the Lord of the Lord.","Of all our lords who are slain,
"
85,"Hath alle the bodyes on an heep ydrawe,
","the body of the heifer is a heifer, the heifer is a heifer.","Has dragged all the bodies in a heap,
"
86,"And wol nat suffren hem, by noon assent,
","by noon's consent, he will be taken to the grave.","And will not allow them, not at all,
"
87,"Neither to been yburyed nor ybrent,
","no one ever had a ybrent, no one ever had a ybrent.","Neither to be buried nor burned,
"
88,"But maketh houndes ete them in despit.""
","""they're going to be killed by the maketh hounds.""","But makes hounds eat them as an insult.""
"
89,"And with that word, withouten moore respit,
","withouten moore respit, withouten moore respit, withouten moore respit, withouten moore respit, withouten moore","And with that word, without more delay,
"
90,"They fillen gruf and criden pitously,
","they're filling the pit with gruf and criden, and they're afraid of it.","They fell face down and cried piteously,
"
91,"""Have on us wrecched wommen som mercy,
",we will destroy the womens' mercy on us.,"""Have some mercy on us wretched women,
"
92,"And lat oure sorwe synken in thyn herte.""
","""in the name of God, I'm sorry, but I'm sorry, but I'm sorry.""","And let our sorrow sink in thy heart.""
"
93,"This gentil duc doun from his courser sterte
",gentil duc doun from the duchess's duchess.,"This gentle duke leaped down from his war horse
"
94,"With herte pitous, whan he herde them speke.
","when he spoke, he was a little surprised, and he looked a little surprised.","With compassionate heart, when he heard them speak.
"
95,"Hym thoughte that his herte wolde breke,
",but he was a little bit of a hiccup.,"It seemed to him that his heart would break,
"
96,"Whan he saugh hem so pitous and so maat,
","he was so pitiful and so sad, and he was so sad.","When he saw them so pitiful and so dejected,
"
97,"That whilom weren of so greet estaat;
","when they were so welcome, they were so welcome;","That once were of such high rank;
"
98,"And in his armes he hem alle up hente,
","he hem hemmed in his arms, and he was in his hands. He was in his hands, and he was in his hands. He was in his hands,","And in his arms he caught up them all,
"
99,"And hem conforteth in ful good entente,
","he's a good man, he's a good man, he's a good man, he's a good man. He's a good man, he's a good","And comforts them with very good will,
"
100,"And swoor his ooth, as he was trewe knyght,
","as he was a great knave, he was a great knave.","And swore his oath, as he was true knight,
"
101,"He wolde doon so ferforthly his myght
",he would be myght for myght.,"(That) he would do his might so completely
"
102,"Upon the tiraunt Creon hem to wreke
",the tiraunt Creon's got a plan to destroy the Tiraunt Creon.,"To avenge them upon the tyrant Creon
"
103,"That al the peple of Grece sholde speke
",the Grece of Grece shal be speckled with the peple of Grece.,"That all the people of Greece should speak (about)
"
104,"How Creon was of Theseus yserved
",Cronus was a Creon of the Creon of the Creon of the Creon of the Creon of the Creon of the Creon of the Cre,"How Creon was treated by Theseus
"
105,"As he that hadde his deeth ful wel deserved.
","he was a good man, and he deserved it. He was a good man, and he deserved it.","As one who had very well deserved his death.
"
106,"And right anoon, withouten moore abood,
","right anoon, withouten moore abood, withouten moore abood.","And right away, without more delay,
"
107,"His baner he desplayeth, and forth rood
","the baner is hiding, and the rood is running.","He displays his banner, and rode forth
"
108,"To Thebes-ward, and al his hoost biside.
","thebes-ward, and the hoofs of the hoofs.","Toward Thebes, and all his army beside (him).
"
109,"No neer Atthenes wolde he go ne ride,
","neither Atthenes nor Atthenes wolde go,
neither Atthenes nor Atthenes wolde go.","He would not walk nor ride any nearer to Athens,
"
110,"Ne take his ese fully half a day,
",he's taking a full day to go. He'll be gone in half a day.,"Nor take his ease fully half a day,
"
111,"But onward on his wey that nyght he lay,
","wey was on his back, and he lay on his back.","But that night he lay (camped) on his way,
"
112,"And sente anon Ypolita the queene,
","the Queene of the Queene, the Queene of the Queene, the Queene of the Queene, the Queene of the Queene, the Que","And sent straightway Ypolita the queen,
"
113,"And Emelye, hir yonge suster sheene,
","Emelye, the daughter of the king, shee, shee, shee, shee, shee, shee, shee, shee","And Emelye, her beautiful young sister,
"
114,"Unto the toun of Atthenes to dwelle,
","to the toun of Atthenes, the toun of Atthenes.","Unto the town of Athens to dwell,
"
115,"And forth he rit; ther is namoore to telle.
","he said, ""I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you,","And forth he rides; there is no more to tell.
"
116,"The rede statue of Mars, with spere and targe,
","the statue of Mars, with a spear and a spear, and a spear.","The red statue of Mars, with spear and shield,
"
117,"So shyneth in his white baner large
","shyneth in the white-haired baner, large.","So shines in his large white banner
"
118,"That alle the feeldes glyteren up and doun;
",the feeldes glyteren is up and doun;,"That all the fields glitter all around;
"
119,"And by his baner born is his penoun
",by his banishment born is his penance.,"And by his banner is carried his pennon
"
120,"Of gold ful riche, in which ther was ybete
","gold-colored, with a gold-colored hue, with a gold-colored hue, with a gold-colored hue, with a gold-colored hue, with a","Of very rich gold, in which there was embroidered
"
121,"The Mynotaur, which that he wan in Crete.
","the Mynotaur, which he was in Crete.","The Minotaur, which he defeated in Crete.
"
122,"Thus rit this duc, thus rit this conquerour,
","so that the duc is rit this conqueror, so that the duc is rit this conqueror.","Thus rides this duke, thus rides this conqueror,
"
123,"And in his hoost of chivalrie the flour,
",the flour in the hoost of the chivalric order.,"And in his army the flower of chivalry,
"
124,"Til that he cam to Thebes and alighte
","when he came to thebes, he was taken aback by the sudden appearance of the gate.","Until he came to Thebes and dismounted
"
125,"Faire in a feeld, ther as he thoughte to fighte.
","he was fighting with a feeld, as if he were fighting.","Graciously in a field, where he intended to fight.
"
126,"But shortly for to speken of this thyng,
","soon after the speken of your own, your own, your own, your own, your own, your own, your own, your own, your own, your","But briefly to speak of this thing,
"
127,"With Creon, which that was of Thebes kyng,
","the king of Creon, which was the king of the Kyns,","With Creon, who was king of Thebes,
"
128,"He faught, and slough hym manly as a knyght
","he was a knave, and he was a knave, and he was a knave.","He fought, and slew him boldly as a knight
"
129,"In pleyn bataille, and putte the folk to flyght;
","the pleyn bataille, and the people fly;","In open battle, and put the army to flight;
"
130,"And by assaut he wan the citee after,
","the citation was taken by the assaut, and he was taken aback.","And by assault he won the city afterwards,
"
131,"And rente adoun bothe wall and sparre and rafter;
","the wall and the roof of the house, the roof and the roof;","And tore down both wall and beam and rafter;
"
132,"And to the ladyes he restored agayn
",to the lady he restored the agayn.,"And he gave back to the ladies
"
133,"The bones of hir freendes that were slayn,
",the bones of the hir freendes that were killed.,"The bones of their husbands who were slain,
"
134,"To doon obsequies, as was tho the gyse.
","as was the gyse, as was the gyse.","To do obsequies, as was then the custom.
"
135,"But it were al to longe for to devyse
","it's a long way to go, but it's worth it.","But it would be all too long to describe
"
136,"The grete clamour and the waymentynge
",the grete clamor and the waymentynge,"The great clamor and the lamentation
"
137,"That the ladyes made at the brennynge
",the ladyes of Brennynge made the ladyes of Brennynge.,"That the ladies made at the burning
"
138,"Of the bodies, and the grete honour
","the body, the honor of the grete, the honor of the grete.","Of the bodies, and the great honor
"
139,"That Theseus, the noble conquerour,
","theseus, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the noble warrior, the","That Theseus, the noble conqueror,
"
140,"Dooth to the ladyes, whan they from hym wente;
","when they came to the lady, they took her away;","Does to the ladies, when they went from him;
"
141,"But shortly for to telle is myn entente.
",soon I'll be in my nentente.,"But briefly to tell is my intent.
"
142,"Whan that this worthy duc, this Theseus,
","that's what it is, this is what it is, this is what it is, this is what it is, this is what it is, this is what it is,","When this worthy duke, this Theseus,
"
143,"Hath Creon slayn and wonne Thebes thus,
",the Hath Creon killed and won thebes.,"Has slain Creon and thus won Thebes,
"
144,"Stille in that feeld he took al nyght his reste,
","he took his rest in the feeld, and he took his rest.","Still in that field he took all night his rest,
"
145,"And dide with al the contree as hym leste.
",he must be careful to avoid the tree as much as possible.,"And did with all the country as he pleased.
"
146,"To ransake in the taas of bodyes dede,
","the body of the body is a ransack, the body is a ransack.","To search in the heap of dead bodies,
"
147,"Hem for to strepe of harneys and of wede,
",Hem for the strepe of harney and the wede.,"To strip them of armor and of clothing,
"
148,"The pilours diden bisynesse and cure
",the pilours have been cured with bisynesse and cure.,"The scavengers took great pains and worked hard
"
149,"After the bataille and disconfiture.
",the bataille and the disquieting.,"After the battle and defeat.
"
150,"And so bifel that in the taas they founde,
","so they found out that they were in the taas, so they were in the taas.","And (it) so befell that in the heap they found,
"
151,"Thurgh-girt with many a grevous blody wounde,
","a lot of greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy, greasy,","Pierced through with many a grievous bloody wound,
"
152,"Two yonge knyghtes liggynge by and by,
","yonge knyghte's liggyng by and by,","Two young knights lying side by side,
"
153,"Bothe in oon armes, wroght ful richely,
","the armes of the oon armes, wroght very rich,","Both with the same coat of arms, very richly wrought,
"
154,"Of whiche two Arcita highte that oon,
","two Arcita's highte, two Arcita's highte, two Arcita's highte.","Of which two one was called Arcite,
"
155,"And that oother knyght highte Palamon.
","the other one is Palamon, the other is Palamon.","And that other knight was called Palamon.
"
156,"Nat fully quyke, ne fully dede they were,
","they were fully aware of the fact that they were, and they were fully aware of the fact that they were.","They were not fully alive, nor fully dead,
"
157,"But by hir cote-armures and by hir gere
",by the cote-armure and by the gere of the cote-armure.,"But by their coats of arms and by their equipment
"
158,"The heraudes knewe hem best in special
",he knew best in the best of heraudes.,"The heralds best knew them in particular
"
159,"As they that weren of the blood roial
",they were blood-stained with blood.,"As they that were of the royal blood
"
160,"Of Thebes, and of sustren two yborn.
","thebes, and the two sons of the same family.","Of Thebes, and born of two sisters.
"
161,"Out of the taas the pilours han hem torn,
","the pilours of the haves are torn, the haves are torn, the haves are torn.","The scavengers have pulled them out of the heap,
"
162,"And han hem caried softe unto the tente
",he was carrying a bag of han to the tent.,"And have carried them softy unto the tent
"
163,"Of Theseus; and he ful soone hem sente
","he sent them all to the same place, and they all went to the same place.","Of Theseus; and he very soon sent them
"
164,"To Atthenes, to dwellen in prisoun
","Atthenes, to live in the prisouns","To Athens, to dwell in prison
"
165,"Perpetuelly -- he nolde no raunsoun.
","he's not a raunsoun, he's not a raunsoun.","Perpetually -- he would not (accept) any ransom.
"
166,"And whan this worthy duc hath thus ydon,
","when the worthy duc is thus honored, then the duc will be honored.","And when this worthy duke has thus done,
"
167,"He took his hoost, and hoom he rit anon
","he took his hoof and hoofed, and he hoofed.","He took his army, and home he rides straightway
"
168,"With laurer crowned as a conquerour;
",the king of Laurer has been crowned as a conqueror;,"As a conqueror crowned with laurel;
"
169,"And ther he lyveth in joye and in honour
","he joyfully and honorably, and with joy and joy.","And there he lives in joy and in honor
"
170,"Terme of his lyf; what nedeth wordes mo?
",what wordes do you want to say to me?,"For the duration of his life; what more words are needed?
"
171,"And in a tour, in angwissh and in wo,
","in a tour, in angwissh and in wo,","And in a tower, in anguish and in woe,
"
172,"This Palamon and his felawe Arcite
",Palamon and his felawe arcite Palamon and his felawe arcite Palamon and his felawe arcite Palamon and his felawe arcite Palamon and his,"This Palamon and his fellow Arcite
"
173,"For everemoore; ther may no gold hem quite.
",Everemoore; it's not possible to have a gold hem.,"For evermore (remain); no gold can ransom them.
"
174,"This passeth yeer by yeer and day by day,
","he passes by day and night, and every day, day and night.","This passes year by year and day by day,
"
175,"Till it fil ones, in a morwe of May,
","until the morrow, when the morrow is the day of the May.","Until it befell once, in a morning of May,
"
176,"That Emelye, that fairer was to sene
","Emelye, the fairer of the two was the one that was the best.","That Emelye, who was fairer to be seen
"
177,"Than is the lylie upon his stalke grene,
",then he's a lylie on the grene of the lylie.,"Than is the lily upon its green stalk,
"
178,"And fressher than the May with floures newe --
",further than the May with a new wave of fressher --,"And fresher than the May with new flowers --
"
179,"For with the rose colour stroof hire hewe,
","with the rose color, he's a hire, he's a hire, he's a hire.","For her hue vied with color of the rose,
"
180,"I noot which was the fyner of hem two --
","noot, which was the fyner of the two of them --","I do not know which was the finer of them two --
"
181,"Er it were day, as was hir wone to do,
","as was the case with the day, as well as the day, as well as the day, as well as the day, as well as the day, as well as the day, as well","Before it was day, as was her custom to do,
"
182,"She was arisen and al redy dight,
","she was born and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she","She was arisen and all ready prepared,
"
183,"For May wole have no slogardie anyght.
",May's not gonna have any of the slogans.,"For May will have no laziness at night.
"
184,"The sesoun priketh every gentil herte,
","the sesouns of the gentil gentil, the sesouns of the gentil.","The season urges on every gentle heart,
"
185,"And maketh it out of his slep to sterte,
","he's got a lot of work to do, so he's got to go.","And makes it out of its sleep to awake suddenly,
"
186,"And seith ""Arys, and do thyn observaunce.""
","""Arys, and you will be observant.""","And says ""Arise, and do thy observance.""
"
187,"This maked Emelye have remembraunce
",Emelye remembered the memory of the memory of the memory of the memory of the memory of the memory of the memory of the memory of the memory of the memory of the memory of the memory,"This made Emelye remember
"
188,"To doon honour to May, and for to ryse.
",for the honor of May and for the sake of Ryse.,"To do honor to May, and to rise.
"
189,"Yclothed was she fressh, for to devyse:
","she was dressed in a robe, for she was a woman:","She was gaily clothed, so to say:
"
190,"Hir yelow heer was broyded in a tresse
",he was a tresse of a tresse.,"Her yellow hair was braided in a tress
"
191,"Bihynde hir bak, a yerde long, I gesse.
","I'm a long way to go, I'm a long way to go, I'm a long way to go.","Behind her back, a yard long, I guess.
"
192,"And in the gardyn, at the sonne upriste,
","in the garden of the sonne-to-son, in the garden of the sonne-to-son, in the garden of the sonne-to-son.","And in the garden, at the rising of the sun,
"
193,"She walketh up and doun, and as hire liste
","he walks up and down, and as a hire-liste.","She walks up and down, and as she pleases
"
194,"She gadereth floures, party white and rede,
","gadereth floures, party white and red,
gadereth floures, party white and red.","She gathers flowers, mixed white and red,
"
195,"To make a subtil gerland for hire hede;
",hede's a subtil gerland for hire;,"To make an intricate garland for her head;
"
196,"And as an aungel hevenysshly she soong.
","as a woman, she was a woman, she was a woman, she was a woman.","And she sang (as) heavenly as an angel.
"
197,"The grete tour, that was so thikke and stroong,
","the grete tour was so good and so strong,
the grete tour was great and strong.","The great tower, that was so thick and strong,
"
198,"Which of the castel was the chief dongeoun
",the chief of the castle was the chief of the castle.,"Which was the main fortification of the castle
"
199,"(Ther as the knyghtes weren in prisoun
",the knyghtes were in the prisoun of the knyghtes.,"(Where the knights were in prison
"
200,"Of which I tolde yow and tellen shal),
","I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I","Of which I told yow and shall tell),
"
201,"Was evene joynant to the gardyn wal
",the gardyn wal is joynant to the gardyn wal.,"Was just next to the garden wall
"
202,"Ther as this Emelye hadde hir pleyynge.
",Emelye had a pleyynge in her hand.,"Where this Emelye took her pleasure.
"
203,"Bright was the sonne and cleer that morwenynge,
","the son of a man and a woman, a man and a woman, a man and a woman, a man and a woman.","The sun was bright and clear that morning,
"
204,"And Palamoun, this woful prisoner,
","the prisoner of Palamoun, the prisoner of Palamoun, the prisoner of Palamoun.","And Palamon, this woeful prisoner,
"
205,"As was his wone, by leve of his gayler,
","he was taken away by the gayler, who took him away.","As was his custom, by permission of his jailer,
"
206,"Was risen and romed in a chambre an heigh,
",he was lifted by a chambre and lifted to the roof.,"Had risen and roamed in a chamber on high,
"
207,"In which he al the noble citee seigh,
","in which he's a noble man, a noble man, a noble man, a noble man, a noble man, a noble man, a noble man, a noble man,","In which he saw all the noble city,
"
208,"And eek the gardyn, ful of braunches grene,
","eek, the gardyn, full of brauns, grene,
eek, the gardyn, full of brauns, green.","And also the garden, full of green branches,
"
209,"Ther as this fresshe Emelye the shene
",the fresshe Emelye the shene of the fresshe Emelye,"Where this fresh Emelye the bright
"
210,"Was in hire walk, and romed up and doun.
","they were hired to walk, and they were romed up and down.","Was in her walk, and roamed up and down.
"
211,"This sorweful prisoner, this Palamoun,
","the prisoner of Palamoun, this Palamoun, the prisoner of Palamoun, Palamoun, Palamoun, Palamoun, Palamoun, Pal","This sorrowful prisoner, this Palamon,
"
212,"Goth in the chambre romynge to and fro
",the chambre romynge is running out of the chambre romynge.,"Goes in the chamber roaming to and fro
"
213,"And to hymself compleynynge of his wo.
",he's a hymself compleynge of his own wo.,"And to himself lamenting his woe.
"
214,"That he was born, ful ofte he seyde, ""allas!""
","""allas!"" Said he, with a loud, shrill cry. He was born, and he screamed, ""Aha!"" He was born, and he screamed, ""A","That he was born, full often he said, ""alas!""
"
215,"And so bifel, by aventure or cas,
","bifel, by aventure or cas, by aventure, by aventure, by aventure, by aventure, by aventure, by aventure, by a","And so it happened, by chance or accident,
"
216,"That thurgh a wyndow, thikke of many a barre
","thou wilt be a wyndow, a wyndow, a wyndow, a wyndow, a wyndow, a","That through a window, thickly set with many a bar
"
217,"Of iren greet and square as any sparre,
","the welcome and the square as a sparrow,","Of iron, great and square as any beam,
"
218,"He cast his eye upon Emelya,
","he looked at Emelya's eye, and then looked again.","He cast his eye upon Emelye,
"
219,"And therwithal he bleynte and cride, ""A!""
","""A!"" Said the man, and he leapt to his feet. ""A!"" He shouted, and he leapt to his feet. ""A!"" He shouted, and he leapt","And with that he turned pale and cried, ""A!""
"
220,"As though he stongen were unto the herte.
",but she was strong enough to withstand the strength of the man.,"As though he were stabbed unto the heart.
"
221,"And with that cry Arcite anon up sterte
","with that cry, the arcite anon was lifted from the ground.","And with that cry Arcite immediately leaped up
"
222,"And seyde, ""Cosyn myn, what eyleth thee,
","""Cosyn myn, what do you say, what do you say, what do you say, what do you say, what do you say, what do you say,","And said, ""My cousin, what ails thee,
"
223,"That art so pale and deedly on to see?
",the art so beautiful and beautiful to see?,"Who art so pale and deadly to look upon?
"
224,"Why cridestow? Who hath thee doon offence?
",who's the one who's offended you?,"Why didst thou cry out? Who has done thee offence?
"
225,"For Goddes love, taak al in pacience
","for God's love, taak al in comfort.","For the love of God, take all in patience
"
